Rank,Team,GM,W-L,AST,APG
29,A&M-Corpus Christi (Southland),33,23-10,518,15.7
28,Abilene Christian (WAC),30,13-17,471,15.7
39,Air Force (Mountain West),32,14-18,491,15.3
153,Akron (MAC),33,22-11,443,13.4
202,Alabama A&M (SWAC),33,15-18,419,12.7
344,Alabama St. (SWAC),31,8-23,309,10
46,Alabama (SEC),34,29-5,517,15.2
343,Alcorn (SWAC),31,18-13,310,10
137,American (Patriot),32,17-15,436,13.6
180,App State (Sun Belt),32,16-16,417,13
95,Arizona St. (Pac-12),34,22-12,484,14.2
2,Arizona (Pac-12),34,28-6,652,19.2
200,Ark.-Pine Bluff (SWAC),31,10-21,396,12.8
171,Arkansas St. (Sun Belt),33,13-20,433,13.1
153,Arkansas (SEC),33,20-13,443,13.4
174,Army West Point (Patriot),33,17-16,432,13.1
99,Auburn (SEC),32,20-12,454,14.2
221,Austin Peay (ASUN),31,9-22,387,12.5
166,Ball St. (MAC),32,20-12,422,13.2
79,Baylor (Big 12),32,22-10,464,14.5
43,Belmont (MVC),32,21-11,488,15.2
306,Bethune-Cookman (SWAC),32,12-20,362,11.3
291,Binghamton (America East),31,13-18,361,11.6
308,Boise St. (Mountain West),33,24-9,370,11.2
217,Boston College (ACC),33,16-17,413,12.5
335,Boston U. (Patriot),32,15-17,335,10.5
123,Bowling Green (MAC),31,11-20,428,13.8
156,Bradley (MVC),34,25-9,456,13.4
128,Brown (Ivy League),27,14-13,372,13.8
152,Bryant (America East),30,17-13,403,13.4
158,Bucknell (Patriot),32,12-20,429,13.4
71,Buffalo (MAC),32,15-17,470,14.7
211,Butler (Big East),32,14-18,403,12.6
69,BYU (WCC),34,19-15,501,14.7
338,Cal Poly (Big West),33,8-25,341,10.3
339,Cal St. Fullerton (Big West),33,20-13,340,10.3
93,California Baptist (WAC),33,17-16,471,14.3
349,California (Pac-12),32,3-29,308,9.6
248,Campbell (Big South),34,16-18,416,12.2
88,Canisius (MAAC),30,10-20,431,14.4
231,Central Ark. (ASUN),31,9-22,384,12.4
188,Central Conn. St. (NEC),32,10-22,413,12.9
329,Central Mich. (MAC),31,10-21,333,10.7
262,Charleston So. (Big South),31,10-21,373,12
186,Charlotte (C-USA),32,18-14,414,12.9
41,Chattanooga (SoCon),35,18-17,536,15.3
249,Chicago St. (DI Independent),31,11-20,379,12.2
26,Cincinnati (AAC),33,21-12,520,15.8
90,Clemson (ACC),33,23-10,472,14.3
156,Cleveland St. (Horizon),34,21-13,456,13.4
235,Coastal Carolina (Sun Belt),31,11-20,383,12.4
125,Col. of Charleston (CAA),34,31-3,469,13.8
3,Colgate (Patriot),34,26-8,631,18.6
14,Colorado St. (Mountain West),33,15-18,545,16.5
182,Colorado (Pac-12),33,17-16,430,13
282,Columbia (Ivy League),29,7-22,340,11.7
307,Coppin St. (MEAC),32,9-23,360,11.2
6,Cornell (Ivy League),28,17-11,489,17.5
23,Creighton (Big East),33,21-12,525,15.9
327,CSU Bakersfield (Big West),33,11-22,355,10.8
346,CSUN (Big West),32,7-25,314,9.8
191,Dartmouth (Ivy League),28,10-18,360,12.9
170,Davidson (Atlantic 10),32,16-16,420,13.1
44,Dayton (Atlantic 10),34,22-12,518,15.2
230,Delaware St. (MEAC),30,6-24,372,12.4
280,Delaware (CAA),33,17-16,389,11.8
303,Denver (Summit League),32,15-17,363,11.3
118,DePaul (Big East),33,10-23,457,13.8
217,Detroit Mercy (Horizon),33,14-19,413,12.5
141,Drake (MVC),34,27-7,463,13.6
286,Drexel (CAA),32,17-15,374,11.7
67,Duke (ACC),34,26-8,503,14.8
39,Duquesne (Atlantic 10),32,20-12,491,15.3
171,East Carolina (AAC),33,16-17,433,13.1
81,Eastern Ill. (OVC),31,9-22,449,14.5
45,Eastern Ky. (ASUN),33,20-13,502,15.2
348,Eastern Mich. (MAC),31,8-23,299,9.6
35,Eastern Wash. (Big Sky),32,22-10,495,15.5
255,Elon (CAA),32,8-24,389,12.2
252,ETSU (SoCon),32,12-20,390,12.2
340,Evansville (MVC),32,5-27,328,10.2
350,Fairfield (MAAC),31,13-18,296,9.5
52,FDU (NEC),34,19-15,509,15
198,FGCU (ASUN),32,17-15,409,12.8
229,FIU (C-USA),32,14-18,397,12.4
76,Fla. Atlantic (C-USA),34,31-3,497,14.6
347,Florida A&M (SWAC),29,7-22,280,9.7
150,Florida St. (ACC),32,9-23,430,13.4
224,Florida (SEC),32,16-16,398,12.4
206,Fordham (Atlantic 10),33,25-8,418,12.7
240,Fresno St. (Mountain West),31,11-20,382,12.3
