Rank,Team,GM,W-L,AST,TO,Ratio
75,A&M-Corpus Christi (Southland),33,23-10,518,428,1.21
66,Abilene Christian (WAC),30,13-17,471,379,1.24
63,Air Force (Mountain West),32,14-18,491,391,1.26
80,Akron (MAC),33,22-11,443,370,1.20
315,Alabama A&M (SWAC),33,15-18,419,498,0.84
343,Alabama St. (SWAC),31,8-23,309,414,0.75
146,Alabama (SEC),34,29-5,517,479,1.08
333,Alcorn (SWAC),31,18-13,310,393,0.79
243,American (Patriot),32,17-15,436,448,0.97
86,App State (Sun Belt),32,16-16,417,352,1.18
78,Arizona St. (Pac-12),34,22-12,484,402,1.20
18,Arizona (Pac-12),34,28-6,652,455,1.43
318,Ark.-Pine Bluff (SWAC),31,10-21,396,473,0.84
121,Arkansas St. (Sun Belt),33,13-20,433,385,1.12
186,Arkansas (SEC),33,20-13,443,426,1.04
206,Army West Point (Patriot),33,17-16,432,427,1.01
113,Auburn (SEC),32,20-12,454,399,1.14
162,Austin Peay (ASUN),31,9-22,387,364,1.06
147,Ball St. (MAC),32,20-12,422,391,1.08
91,Baylor (Big 12),32,22-10,464,394,1.18
39,Belmont (MVC),32,21-11,488,365,1.34
301,Bethune-Cookman (SWAC),32,12-20,362,413,0.88
291,Binghamton (America East),31,13-18,361,404,0.89
217,Boise St. (Mountain West),33,24-9,370,370,1.00
201,Boston College (ACC),33,16-17,413,405,1.02
304,Boston U. (Patriot),32,15-17,335,384,0.87
116,Bowling Green (MAC),31,11-20,428,378,1.13
105,Bradley (MVC),34,25-9,456,398,1.15
190,Brown (Ivy League),27,14-13,372,361,1.03
215,Bryant (America East),30,17-13,403,402,1.00
212,Bucknell (Patriot),32,12-20,429,427,1.00
187,Buffalo (MAC),32,15-17,470,452,1.04
160,Butler (Big East),32,14-18,403,378,1.07
184,BYU (WCC),34,19-15,501,481,1.04
344,Cal Poly (Big West),33,8-25,341,457,0.75
305,Cal St. Fullerton (Big West),33,20-13,340,391,0.87
66,California Baptist (WAC),33,17-16,471,379,1.24
346,California (Pac-12),32,3-29,308,417,0.74
191,Campbell (Big South),34,16-18,416,404,1.03
76,Canisius (MAAC),30,10-20,431,357,1.21
