Rank,Team,GM,W-L,BLKS,BKPG
341,A&M-Corpus Christi (Southland),33,23-10,56,1.7
298,Abilene Christian (WAC),30,13-17,71,2.4
73,Air Force (Mountain West),32,14-18,127,4
249,Akron (MAC),33,22-11,87,2.6
65,Alabama A&M (SWAC),33,15-18,133,4
120,Alabama St. (SWAC),31,8-23,110,3.5
13,Alabama (SEC),34,29-5,172,5.1
271,Alcorn (SWAC),31,18-13,79,2.5
77,American (Patriot),32,17-15,126,3.9
33,App State (Sun Belt),32,16-16,146,4.6
31,Arizona St. (Pac-12),34,22-12,159,4.7
163,Arizona (Pac-12),34,28-6,109,3.2
232,Ark.-Pine Bluff (SWAC),31,10-21,86,2.8
149,Arkansas St. (Sun Belt),33,13-20,108,3.3
8,Arkansas (SEC),33,20-13,173,5.2
322,Army West Point (Patriot),33,17-16,70,2.1
12,Auburn (SEC),32,20-12,164,5.1
195,Austin Peay (ASUN),31,9-22,94,3
87,Ball St. (MAC),32,20-12,123,3.8
296,Baylor (Big 12),32,22-10,76,2.4
174,Belmont (MVC),32,21-11,101,3.2
223,Bethune-Cookman (SWAC),32,12-20,90,2.8
172,Binghamton (America East),31,13-18,98,3.2
207,Boise St. (Mountain West),33,24-9,97,2.9
117,Boston College (ACC),33,16-17,118,3.6
286,Boston U. (Patriot),32,15-17,79,2.5
199,Bowling Green (MAC),31,11-20,93,3
74,Bradley (MVC),34,25-9,134,3.9
159,Brown (Ivy League),27,14-13,87,3.2
122,Bryant (America East),30,17-13,106,3.5
96,Bucknell (Patriot),32,12-20,121,3.8
168,Buffalo (MAC),32,15-17,102,3.2
47,Butler (Big East),32,14-18,138,4.3
74,BYU (WCC),34,19-15,134,3.9
282,Cal Poly (Big West),33,8-25,82,2.5
267,Cal St. Fullerton (Big West),33,20-13,85,2.6
180,California Baptist (WAC),33,17-16,103,3.1
178,California (Pac-12),32,3-29,100,3.1
218,Campbell (Big South),34,16-18,97,2.9
253,Canisius (MAAC),30,10-20,79,2.6
172,Central Ark. (ASUN),31,9-22,98,3.2
91,Central Conn. St. (NEC),32,10-22,122,3.8
94,Central Mich. (MAC),31,10-21,118,3.8
258,Charleston So. (Big South),31,10-21,81,2.6
269,Charlotte (C-USA),32,18-14,82,2.6
126,Chattanooga (SoCon),35,18-17,121,3.5
241,Chicago St. (DI Independent),31,11-20,83,2.7
71,Cincinnati (AAC),33,21-12,131,4
185,Clemson (ACC),33,23-10,102,3.1
140,Cleveland St. (Horizon),34,21-13,114,3.4
