Rank,Team,GM,W-L,FT,FTA,FT%
5,A&M-Corpus Christi (Southland),33,23-10,550,696,79
150,Abilene Christian (WAC),30,13-17,414,573,72.3
153,Air Force (Mountain West),32,14-18,369,511,72.2
92,Akron (MAC),33,22-11,475,643,73.9
330,Alabama A&M (SWAC),33,15-18,425,649,65.5
218,Alabama St. (SWAC),31,8-23,412,584,70.5
137,Alabama (SEC),34,29-5,564,777,72.6
145,Alcorn (SWAC),31,18-13,461,637,72.4
234,American (Patriot),32,17-15,319,455,70.1
304,App State (Sun Belt),32,16-16,367,543,67.6
277,Arizona St. (Pac-12),34,22-12,436,633,68.9
212,Arizona (Pac-12),34,28-6,521,735,70.9
130,Ark.-Pine Bluff (SWAC),31,10-21,427,587,72.7
303,Arkansas St. (Sun Belt),33,13-20,406,600,67.7
274,Arkansas (SEC),33,20-13,502,728,69
287,Army West Point (Patriot),33,17-16,390,570,68.4
231,Auburn (SEC),32,20-12,467,665,70.2
139,Austin Peay (ASUN),31,9-22,359,495,72.5
276,Ball St. (MAC),32,20-12,523,759,68.9
52,Baylor (Big 12),32,22-10,513,685,74.9
138,Belmont (MVC),32,21-11,344,474,72.6
246,Bethune-Cookman (SWAC),32,12-20,409,586,69.8
195,Binghamton (America East),31,13-18,373,523,71.3
110,Boise St. (Mountain West),33,24-9,421,573,73.5
142,Boston College (ACC),33,16-17,371,512,72.5
95,Boston U. (Patriot),32,15-17,387,524,73.9
141,Bowling Green (MAC),31,11-20,451,622,72.5
314,Bradley (MVC),34,25-9,356,532,66.9
341,Brown (Ivy League),27,14-13,298,464,64.2
112,Bryant (America East),30,17-13,442,602,73.4
177,Bucknell (Patriot),32,12-20,332,463,71.7
220,Buffalo (MAC),32,15-17,445,632,70.4
94,Butler (Big East),32,14-18,339,459,73.9
178,BYU (WCC),34,19-15,466,650,71.7
74,Cal Poly (Big West),33,8-25,395,531,74.4
264,Cal St. Fullerton (Big West),33,20-13,472,681,69.3
319,California Baptist (WAC),33,17-16,393,592,66.4
149,California (Pac-12),32,3-29,386,534,72.3
226,Campbell (Big South),34,16-18,486,691,70.3
117,Canisius (MAAC),30,10-20,328,448,73.2
51,Central Ark. (ASUN),31,9-22,361,482,74.9
209,Central Conn. St. (NEC),32,10-22,310,437,70.9
273,Central Mich. (MAC),31,10-21,443,642,69
135,Charleston So. (Big South),31,10-21,362,498,72.7
68,Charlotte (C-USA),32,18-14,303,407,74.4
192,Chattanooga (SoCon),35,18-17,456,639,71.4
128,Chicago St. (DI Independent),31,11-20,404,555,72.8
250,Cincinnati (AAC),33,21-12,378,542,69.7
6,Clemson (ACC),33,23-10,452,572,79
300,Cleveland St. (Horizon),34,21-13,407,599,67.9
9,Coastal Carolina (Sun Belt),31,11-20,418,533,78.4
80,Col. of Charleston (CAA),34,31-3,522,704,74.1
327,Colgate (Patriot),34,26-8,355,540,65.7
66,Colorado St. (Mountain West),33,15-18,394,529,74.5
266,Colorado (Pac-12),33,17-16,408,589,69.3
187,Columbia (Ivy League),29,7-22,348,487,71.5
169,Coppin St. (MEAC),32,9-23,478,665,71.9
143,Cornell (Ivy League),28,17-11,355,490,72.4
24,Creighton (Big East),33,21-12,419,546,76.7
35,CSU Bakersfield (Big West),33,11-22,389,512,76
78,CSUN (Big West),32,7-25,454,612,74.2
242,Dartmouth (Ivy League),28,10-18,332,475,69.9
56,Davidson (Atlantic 10),32,16-16,450,602,74.8
243,Dayton (Atlantic 10),34,22-12,443,634,69.9
279,Delaware St. (MEAC),30,6-24,340,494,68.8
132,Delaware (CAA),33,17-16,448,616,72.7
179,Denver (Summit League),32,15-17,511,713,71.7
90,DePaul (Big East),33,10-23,400,541,73.9
23,Detroit Mercy (Horizon),33,14-19,437,569,76.8
22,Drake (MVC),34,27-7,430,559,76.9
290,Drexel (CAA),32,17-15,360,527,68.3
21,Duke (ACC),34,26-8,465,604,77
280,Duquesne (Atlantic 10),32,20-12,364,529,68.8
281,East Carolina (AAC),33,16-17,484,704,68.8
343,Eastern Ill. (OVC),31,9-22,378,593,63.7
326,Eastern Ky. (ASUN),33,20-13,354,538,65.8
25,Eastern Mich. (MAC),31,8-23,441,575,76.7
41,Eastern Wash. (Big Sky),32,22-10,424,562,75.4
213,Elon (CAA),32,8-24,352,497,70.8
311,ETSU (SoCon),32,12-20,366,546,67
345,Evansville (MVC),32,5-27,340,540,63
144,Fairfield (MAAC),31,13-18,454,627,72.4
61,FDU (NEC),34,19-15,429,575,74.6
87,FGCU (ASUN),32,17-15,375,507,74
194,FIU (C-USA),32,14-18,386,541,71.3
180,Fla. Atlantic (C-USA),34,31-3,427,596,71.6
269,Florida A&M (SWAC),29,7-22,343,496,69.2
136,Florida St. (ACC),32,9-23,406,559,72.6
175,Florida (SEC),32,16-16,464,647,71.7
81,Fordham (Atlantic 10),33,25-8,530,715,74.1
18,Fresno St. (Mountain West),31,11-20,324,420,77.1
86,Furman (SoCon),34,27-7,511,690,74.1
284,Ga. Southern (Sun Belt),33,17-16,370,539,68.6
350,Gardner-Webb (Big South),31,15-16,370,592,62.5
333,George Mason (Atlantic 10),33,20-13,428,657,65.1
98,George Washington (Atlantic 10),32,16-16,475,644,73.8
173,Georgetown (Big East),32,7-25,404,563,71.8
197,Georgia St. (Sun Belt),31,10-21,414,581,71.3
256,Georgia Tech (ACC),33,15-18,332,477,69.6
134,Georgia (SEC),32,16-16,522,718,72.7
236,Gonzaga (WCC),33,28-5,480,685,70.1
339,Grambling (SWAC),33,24-9,480,745,64.4
182,Grand Canyon (WAC),35,24-11,512,715,71.6
230,Green Bay (Horizon),32,3-29,368,524,70.2
282,Hampton (CAA),32,8-24,437,636,68.7
340,Hartford (DI Independent),28,5-23,233,362,64.4
313,Harvard (Ivy League),28,14-14,330,493,66.9
57,Hawaii (Big West),33,22-11,444,594,74.7
348,High Point (Big South),31,14-17,452,722,62.6
101,Hofstra (CAA),33,24-9,300,407,73.7
351,Holy Cross (Patriot),32,10-22,293,471,62.2
170,Houston Christian (Southland),32,10-22,515,717,71.8
165,Houston (AAC),34,31-3,415,577,71.9
189,Howard (MEAC),34,22-12,478,669,71.4
108,Idaho St. (Big Sky),32,11-21,380,517,73.5
33,Idaho (Big Sky),32,10-22,470,617,76.2
2,Illinois St. (MVC),32,11-21,421,531,79.3
298,Illinois (Big Ten),32,20-12,436,641,68
