Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
233,A&M-Corpus Christi (Southland),33,23-10,833,"1,868",44.6
342,Abilene Christian (WAC),30,13-17,727,"1,526",47.6
221,Air Force (Mountain West),32,14-18,764,"1,718",44.5
123,Akron (MAC),33,22-11,802,"1,873",42.8
96,Alabama A&M (SWAC),33,15-18,781,"1,842",42.4
165,Alabama St. (SWAC),31,8-23,801,"1,839",43.6
3,Alabama (SEC),34,29-5,814,"2,189",37.2
245,Alcorn (SWAC),31,18-13,756,"1,691",44.7
275,American (Patriot),32,17-15,754,"1,665",45.3
21,App State (Sun Belt),32,16-16,753,"1,870",40.3
15,Arizona St. (Pac-12),34,22-12,789,"1,982",39.8
36,Arizona (Pac-12),34,28-6,879,"2,152",40.8
172,Ark.-Pine Bluff (SWAC),31,10-21,738,"1,689",43.7
180,Arkansas St. (Sun Belt),33,13-20,778,"1,776",43.8
68,Arkansas (SEC),33,20-13,772,"1,840",42
236,Army West Point (Patriot),33,17-16,852,"1,909",44.6
29,Auburn (SEC),32,20-12,735,"1,807",40.7
344,Austin Peay (ASUN),31,9-22,796,"1,664",47.8
189,Ball St. (MAC),32,20-12,823,"1,873",43.9
277,Baylor (Big 12),32,22-10,815,"1,798",45.3
258,Belmont (MVC),32,21-11,852,"1,895",45
282,Bethune-Cookman (SWAC),32,12-20,845,"1,862",45.4
176,Binghamton (America East),31,13-18,781,"1,786",43.7
45,Boise St. (Mountain West),33,24-9,776,"1,880",41.3
209,Boston College (ACC),33,16-17,833,"1,882",44.3
151,Boston U. (Patriot),32,15-17,749,"1,725",43.4
320,Bowling Green (MAC),31,11-20,866,"1,857",46.6
22,Bradley (MVC),34,25-9,735,"1,817",40.5
246,Brown (Ivy League),27,14-13,689,"1,541",44.7
76,Bryant (America East),30,17-13,778,"1,849",42.1
202,Bucknell (Patriot),32,12-20,815,"1,846",44.1
280,Buffalo (MAC),32,15-17,881,"1,942",45.4
248,Butler (Big East),32,14-18,838,"1,874",44.7
140,BYU (WCC),34,19-15,819,"1,897",43.2
146,Cal Poly (Big West),33,8-25,732,"1,689",43.3
57,Cal St. Fullerton (Big West),33,20-13,754,"1,812",41.6
97,California Baptist (WAC),33,17-16,790,"1,863",42.4
271,California (Pac-12),32,3-29,801,"1,772",45.2
283,Campbell (Big South),34,16-18,834,"1,837",45.4
321,Canisius (MAAC),30,10-20,815,"1,747",46.7
329,Central Ark. (ASUN),31,9-22,923,"1,963",47
247,Central Conn. St. (NEC),32,10-22,821,"1,836",44.7
179,Central Mich. (MAC),31,10-21,769,"1,757",43.8
302,Charleston So. (Big South),31,10-21,803,"1,747",46
158,Charlotte (C-USA),32,18-14,734,"1,687",43.5
92,Chattanooga (SoCon),35,18-17,888,"2,099",42.3
289,Chicago St. (DI Independent),31,11-20,812,"1,783",45.5
117,Cincinnati (AAC),33,21-12,836,"1,957",42.7
30,Clemson (ACC),33,23-10,777,"1,910",40.7
80,Cleveland St. (Horizon),34,21-13,820,"1,947",42.1
115,Coastal Carolina (Sun Belt),31,11-20,808,"1,893",42.7
139,Col. of Charleston (CAA),34,31-3,875,"2,029",43.1
278,Colgate (Patriot),34,26-8,906,"1,998",45.3
222,Colorado St. (Mountain West),33,15-18,827,"1,859",44.5
88,Colorado (Pac-12),33,17-16,787,"1,863",42.2
294,Columbia (Ivy League),29,7-22,819,"1,792",45.7
308,Coppin St. (MEAC),32,9-23,937,"2,029",46.2
332,Cornell (Ivy League),28,17-11,774,"1,643",47.1
85,Creighton (Big East),33,21-12,875,"2,074",42.2
116,CSU Bakersfield (Big West),33,11-22,700,"1,639",42.7
112,CSUN (Big West),32,7-25,737,"1,729",42.6
200,Dartmouth (Ivy League),28,10-18,736,"1,669",44.1
213,Davidson (Atlantic 10),32,16-16,817,"1,843",44.3
8,Dayton (Atlantic 10),34,22-12,764,"1,942",39.3
317,Delaware St. (MEAC),30,6-24,772,"1,660",46.5
263,Delaware (CAA),33,17-16,850,"1,888",45
241,Denver (Summit League),32,15-17,871,"1,950",44.7
288,DePaul (Big East),33,10-23,903,"1,984",45.5
311,Detroit Mercy (Horizon),33,14-19,893,"1,931",46.2
35,Drake (MVC),34,27-7,794,"1,945",40.8
104,Drexel (CAA),32,17-15,762,"1,793",42.5
39,Duke (ACC),34,26-8,802,"1,959",40.9
205,Duquesne (Atlantic 10),32,20-12,804,"1,819",44.2
169,East Carolina (AAC),33,16-17,830,"1,905",43.6
159,Eastern Ill. (OVC),31,9-22,786,"1,806",43.5
81,Eastern Ky. (ASUN),33,20-13,858,"2,037",42.1
347,Eastern Mich. (MAC),31,8-23,894,"1,846",48.4
90,Eastern Wash. (Big Sky),32,22-10,799,"1,891",42.3
170,Elon (CAA),32,8-24,815,"1,869",43.6
167,ETSU (SoCon),32,12-20,799,"1,834",43.6
346,Evansville (MVC),32,5-27,867,"1,809",47.9
193,Fairfield (MAAC),31,13-18,769,"1,748",44
345,FDU (NEC),34,19-15,898,"1,875",47.9
157,FGCU (ASUN),32,17-15,804,"1,848",43.5
219,FIU (C-USA),32,14-18,848,"1,907",44.5
19,Fla. Atlantic (C-USA),34,31-3,798,"1,983",40.2
206,Florida A&M (SWAC),29,7-22,695,"1,572",44.2
281,Florida St. (ACC),32,9-23,854,"1,882",45.4
41,Florida (SEC),32,16-16,801,"1,947",41.1
74,Fordham (Atlantic 10),33,25-8,774,"1,841",42
208,Fresno St. (Mountain West),31,11-20,711,"1,607",44.2
234,Furman (SoCon),34,27-7,884,"1,982",44.6
94,Ga. Southern (Sun Belt),33,17-16,779,"1,838",42.4
47,Gardner-Webb (Big South),31,15-16,678,"1,639",41.4
113,George Mason (Atlantic 10),33,20-13,798,"1,872",42.6
235,George Washington (Atlantic 10),32,16-16,892,"1,999",44.6
298,Georgetown (Big East),32,7-25,918,"2,001",45.9
163,Georgia St. (Sun Belt),31,10-21,755,"1,734",43.5
197,Georgia Tech (ACC),33,15-18,856,"1,943",44.1
192,Georgia (SEC),32,16-16,841,"1,912",44
216,Gonzaga (WCC),33,28-5,877,"1,975",44.4
4,Grambling (SWAC),33,24-9,685,"1,801",38
26,Grand Canyon (WAC),35,24-11,833,"2,056",40.5
348,Green Bay (Horizon),32,3-29,893,"1,832",48.7
315,Hampton (CAA),32,8-24,878,"1,889",46.5
303,Hartford (DI Independent),28,5-23,734,"1,596",46
84,Harvard (Ivy League),28,14-14,680,"1,612",42.2
25,Hawaii (Big West),33,22-11,760,"1,877",40.5
199,High Point (Big South),31,14-17,856,"1,942",44.1
17,Hofstra (CAA),33,24-9,797,"1,989",40.1
286,Holy Cross (Patriot),32,10-22,876,"1,926",45.5
351,Houston Christian (Southland),32,10-22,984,"1,978",49.7
1,Houston (AAC),34,31-3,638,"1,751",36.4
207,Howard (MEAC),34,22-12,864,"1,954",44.2
267,Idaho St. (Big Sky),32,11-21,796,"1,764",45.1
327,Idaho (Big Sky),32,10-22,848,"1,805",47
285,Illinois St. (MVC),32,11-21,805,"1,770",45.5
59,Illinois (Big Ten),32,20-12,780,"1,871",41.7
108,Indiana St. (MVC),34,22-12,842,"1,979",42.5
38,Indiana (Big Ten),33,22-11,796,"1,945",40.9
37,Iona (MAAC),34,27-7,794,"1,943",40.9
86,Iowa St. (Big 12),32,19-13,657,"1,557",42.2
339,Iowa (Big Ten),32,19-13,910,"1,919",47.4
325,IUPUI (Horizon),32,5-27,860,"1,833",46.9
279,Jackson St. (SWAC),33,14-19,853,"1,881",45.3
168,Jacksonville St. (ASUN),31,13-18,762,"1,749",43.6
32,Jacksonville (ASUN),29,13-16,642,"1,576",40.7
87,James Madison (Sun Belt),33,22-11,811,"1,920",42.2
98,Kansas City (Summit League),32,11-21,734,"1,730",42.4
66,Kansas St. (Big 12),32,23-9,770,"1,836",41.9
