Rank,Team,GM,W-L,FGM,FGA,FG%
108,A&M-Corpus Christi (Southland),33,23-10,923,"2,020",45.7
152,Abilene Christian (WAC),30,13-17,812,"1,800",45.1
77,Air Force (Mountain West),32,14-18,756,"1,636",46.2
181,Akron (MAC),33,22-11,844,"1,898",44.5
209,Alabama A&M (SWAC),33,15-18,823,"1,868",44.1
352,Alabama St. (SWAC),31,8-23,683,"1,821",37.5
177,Alabama (SEC),34,29-5,944,"2,115",44.6
322,Alcorn (SWAC),31,18-13,746,"1,813",41.1
20,American (Patriot),32,17-15,785,"1,630",48.2
202,App State (Sun Belt),32,16-16,819,"1,854",44.2
317,Arizona St. (Pac-12),34,22-12,850,"2,056",41.3
5,Arizona (Pac-12),34,28-6,999,"2,015",49.6
348,Ark.-Pine Bluff (SWAC),31,10-21,701,"1,791",39.1
255,Arkansas St. (Sun Belt),33,13-20,777,"1,799",43.2
30,Arkansas (SEC),33,20-13,893,"1,879",47.5
26,Army West Point (Patriot),33,17-16,885,"1,853",47.8
210,Auburn (SEC),32,20-12,826,"1,875",44.1
308,Austin Peay (ASUN),31,9-22,743,"1,790",41.5
40,Ball St. (MAC),32,20-12,841,"1,785",47.1
176,Baylor (Big 12),32,22-10,823,"1,843",44.7
36,Belmont (MVC),32,21-11,898,"1,902",47.2
311,Bethune-Cookman (SWAC),32,12-20,772,"1,863",41.4
156,Binghamton (America East),31,13-18,794,"1,763",45
122,Boise St. (Mountain West),33,24-9,852,"1,873",45.5
226,Boston College (ACC),33,16-17,819,"1,873",43.7
320,Boston U. (Patriot),32,15-17,761,"1,845",41.2
145,Bowling Green (MAC),31,11-20,840,"1,859",45.2
73,Bradley (MVC),34,25-9,892,"1,928",46.3
223,Brown (Ivy League),27,14-13,682,"1,557",43.8
62,Bryant (America East),30,17-13,848,"1,821",46.6
114,Bucknell (Patriot),32,12-20,797,"1,749",45.6
136,Buffalo (MAC),32,15-17,906,"2,000",45.3
231,Butler (Big East),32,14-18,771,"1,767",43.6
124,BYU (WCC),34,19-15,913,"2,008",45.5
318,Cal Poly (Big West),33,8-25,715,"1,733",41.3
268,Cal St. Fullerton (Big West),33,20-13,779,"1,812",43
280,California Baptist (WAC),33,17-16,811,"1,898",42.7
350,California (Pac-12),32,3-29,662,"1,694",39.1
57,Campbell (Big South),34,16-18,830,"1,777",46.7
296,Canisius (MAAC),30,10-20,763,"1,809",42.2
321,Central Ark. (ASUN),31,9-22,818,"1,987",41.2
295,Central Conn. St. (NEC),32,10-22,791,"1,874",42.2
307,Central Mich. (MAC),31,10-21,702,"1,688",41.6
193,Charleston So. (Big South),31,10-21,819,"1,850",44.3
41,Charlotte (C-USA),32,18-14,788,"1,673",47.1
141,Chattanooga (SoCon),35,18-17,924,"2,042",45.2
252,Chicago St. (DI Independent),31,11-20,760,"1,757",43.3
162,Cincinnati (AAC),33,21-12,936,"2,082",45
47,Clemson (ACC),33,23-10,874,"1,862",46.9
121,Cleveland St. (Horizon),34,21-13,928,"2,040",45.5
245,Coastal Carolina (Sun Belt),31,11-20,816,"1,880",43.4
220,Col. of Charleston (CAA),34,31-3,941,"2,146",43.8
2,Colgate (Patriot),34,26-8,"1,017","1,980",51.4
11,Colorado St. (Mountain West),33,15-18,873,"1,790",48.8
244,Colorado (Pac-12),33,17-16,844,"1,943",43.4
337,Columbia (Ivy League),29,7-22,696,"1,728",40.3
242,Coppin St. (MEAC),32,9-23,779,"1,791",43.5
46,Cornell (Ivy League),28,17-11,816,"1,738",47
55,Creighton (Big East),33,21-12,908,"1,943",46.7
315,CSU Bakersfield (Big West),33,11-22,732,"1,770",41.4
341,CSUN (Big West),32,7-25,695,"1,735",40.1
199,Dartmouth (Ivy League),28,10-18,719,"1,626",44.2
196,Davidson (Atlantic 10),32,16-16,785,"1,774",44.3
59,Dayton (Atlantic 10),34,22-12,833,"1,784",46.7
313,Delaware St. (MEAC),30,6-24,714,"1,725",41.4
217,Delaware (CAA),33,17-16,816,"1,859",43.9
13,Denver (Summit League),32,15-17,835,"1,716",48.7
279,DePaul (Big East),33,10-23,838,"1,961",42.7
