Rank,Team,GM,W-L,Fouls,PFPG,DQ
318,A&M-Corpus Christi (Southland),33,23-10,629,19.1,12
346,Abilene Christian (WAC),30,13-17,617,20.6,15
193,Air Force (Mountain West),32,14-18,544,17,6
101,Akron (MAC),33,22-11,529,16,13
309,Alabama A&M (SWAC),33,15-18,624,18.9,8
258,Alabama St. (SWAC),31,8-23,557,18,8
297,Alabama (SEC),34,29-5,633,18.6,13
317,Alcorn (SWAC),31,18-13,590,19,11
40,American (Patriot),32,17-15,482,15.1,3
7,App State (Sun Belt),32,16-16,442,13.8,3
294,Arizona St. (Pac-12),34,22-12,630,18.5,12
198,Arizona (Pac-12),34,28-6,579,17,7
338,Ark.-Pine Bluff (SWAC),31,10-21,611,19.7,26
173,Arkansas St. (Sun Belt),33,13-20,553,16.8,10
321,Arkansas (SEC),33,20-13,631,19.1,21
112,Army West Point (Patriot),33,17-16,532,16.1,6
324,Auburn (SEC),32,20-12,615,19.2,12
190,Austin Peay (ASUN),31,9-22,525,16.9,7
142,Ball St. (MAC),32,20-12,525,16.4,8
219,Baylor (Big 12),32,22-10,556,17.4,8
73,Belmont (MVC),32,21-11,499,15.6,3
218,Bethune-Cookman (SWAC),32,12-20,555,17.3,12
262,Binghamton (America East),31,13-18,558,18,11
131,Boise St. (Mountain West),33,24-9,538,16.3,11
82,Boston College (ACC),33,16-17,521,15.8,12
230,Boston U. (Patriot),32,15-17,561,17.5,6
246,Bowling Green (MAC),31,11-20,550,17.7,5
100,Bradley (MVC),34,25-9,545,16,6
124,Brown (Ivy League),27,14-13,438,16.2,7
211,Bryant (America East),30,17-13,518,17.3,17
69,Bucknell (Patriot),32,12-20,498,15.6,3
305,Buffalo (MAC),32,15-17,602,18.8,17
5,Butler (Big East),32,14-18,429,13.4,5
332,BYU (WCC),34,19-15,659,19.4,12
339,Cal Poly (Big West),33,8-25,653,19.8,20
252,Cal St. Fullerton (Big West),33,20-13,590,17.9,16
210,California Baptist (WAC),33,17-16,569,17.2,3
206,California (Pac-12),32,3-29,548,17.1,11
130,Campbell (Big South),34,16-18,554,16.3,13
74,Canisius (MAAC),30,10-20,469,15.6,9
140,Central Ark. (ASUN),31,9-22,508,16.4,9
13,Central Conn. St. (NEC),32,10-22,451,14.1,3
340,Central Mich. (MAC),31,10-21,614,19.8,20
274,Charleston So. (Big South),31,10-21,562,18.1,14
10,Charlotte (C-USA),32,18-14,447,14,3
81,Chattanooga (SoCon),35,18-17,552,15.8,9
268,Chicago St. (DI Independent),31,11-20,561,18.1,15
86,Cincinnati (AAC),33,21-12,523,15.8,9
226,Clemson (ACC),33,23-10,576,17.5,6
168,Cleveland St. (Horizon),34,21-13,568,16.7,6
105,Coastal Carolina (Sun Belt),31,11-20,497,16,9
180,Col. of Charleston (CAA),34,31-3,572,16.8,4
1,Colgate (Patriot),34,26-8,427,12.6,2
129,Colorado St. (Mountain West),33,15-18,537,16.3,5
131,Colorado (Pac-12),33,17-16,538,16.3,3
170,Columbia (Ivy League),29,7-22,485,16.7,7
337,Coppin St. (MEAC),32,9-23,629,19.7,15
163,Cornell (Ivy League),28,17-11,466,16.6,3
3,Creighton (Big East),33,21-12,434,13.2,2
306,CSU Bakersfield (Big West),33,11-22,621,18.8,16
308,CSUN (Big West),32,7-25,605,18.9,8
193,Dartmouth (Ivy League),28,10-18,476,17,13
47,Davidson (Atlantic 10),32,16-16,485,15.2,4
8,Dayton (Atlantic 10),34,22-12,470,13.8,10
286,Delaware St. (MEAC),30,6-24,551,18.4,15
137,Delaware (CAA),33,17-16,540,16.4,11
193,Denver (Summit League),32,15-17,544,17,8
282,DePaul (Big East),33,10-23,604,18.3,23
101,Detroit Mercy (Horizon),33,14-19,529,16,6
33,Drake (MVC),34,27-7,503,14.8,5
25,Drexel (CAA),32,17-15,464,14.5,2
48,Duke (ACC),34,26-8,517,15.2,8
301,Duquesne (Atlantic 10),32,20-12,597,18.7,8
241,East Carolina (AAC),33,16-17,583,17.7,14
265,Eastern Ill. (OVC),31,9-22,559,18,15
106,Eastern Ky. (ASUN),33,20-13,530,16.1,6
311,Eastern Mich. (MAC),31,8-23,587,18.9,16
233,Eastern Wash. (Big Sky),32,22-10,562,17.6,7
109,Elon (CAA),32,8-24,515,16.1,6
53,ETSU (SoCon),32,12-20,491,15.3,6
127,Evansville (MVC),32,5-27,520,16.2,10
51,Fairfield (MAAC),31,13-18,472,15.2,10
314,FDU (NEC),34,19-15,647,19,13
64,FGCU (ASUN),32,17-15,497,15.5,7
202,FIU (C-USA),32,14-18,547,17.1,9
89,Fla. Atlantic (C-USA),34,31-3,539,15.9,3
313,Florida A&M (SWAC),29,7-22,551,19,5
123,Florida St. (ACC),32,9-23,519,16.2,11
146,Florida (SEC),32,16-16,526,16.4,12
335,Fordham (Atlantic 10),33,25-8,647,19.6,12
110,Fresno St. (Mountain West),31,11-20,499,16.1,7
175,Furman (SoCon),34,27-7,570,16.8,9
166,Ga. Southern (Sun Belt),33,17-16,551,16.7,10
322,Gardner-Webb (Big South),31,15-16,594,19.2,8
209,George Mason (Atlantic 10),33,20-13,568,17.2,14
146,George Washington (Atlantic 10),32,16-16,526,16.4,13
23,Georgetown (Big East),32,7-25,462,14.4,14
200,Georgia St. (Sun Belt),31,10-21,528,17,8
90,Georgia Tech (ACC),33,15-18,524,15.9,4
104,Georgia (SEC),32,16-16,513,16,4
176,Gonzaga (WCC),33,28-5,554,16.8,11
309,Grambling (SWAC),33,24-9,624,18.9,16
266,Grand Canyon (WAC),35,24-11,632,18.1,11
187,Green Bay (Horizon),32,3-29,541,16.9,9
284,Hampton (CAA),32,8-24,587,18.3,16
15,Hartford (DI Independent),28,5-23,395,14.1,6
26,Harvard (Ivy League),28,14-14,408,14.6,4
96,Hawaii (Big West),33,22-11,528,16,10
291,High Point (Big South),31,14-17,573,18.5,11
21,Hofstra (CAA),33,24-9,474,14.4,12
107,Holy Cross (Patriot),32,10-22,514,16.1,14
260,Houston Christian (Southland),32,10-22,575,18,14
156,Houston (AAC),34,31-3,563,16.6,8
240,Howard (MEAC),34,22-12,600,17.6,10
238,Idaho St. (Big Sky),32,11-21,564,17.6,15
183,Idaho (Big Sky),32,10-22,539,16.8,10
289,Illinois St. (MVC),32,11-21,590,18.4,8
185,Illinois (Big Ten),32,20-12,540,16.9,11
149,Indiana St. (MVC),34,22-12,559,16.4,8
217,Indiana (Big Ten),33,22-11,572,17.3,7
134,Iona (MAAC),34,27-7,555,16.3,7
320,Iowa St. (Big 12),32,19-13,611,19.1,11
31,Iowa (Big Ten),32,19-13,470,14.7,4
248,IUPUI (Horizon),32,5-27,570,17.8,7
214,Jackson St. (SWAC),33,14-19,571,17.3,18
150,Jacksonville St. (ASUN),31,13-18,510,16.5,7
14,Jacksonville (ASUN),29,13-16,409,14.1,8
241,James Madison (Sun Belt),33,22-11,583,17.7,10
280,Kansas City (Summit League),32,11-21,585,18.3,21
244,Kansas St. (Big 12),32,23-9,566,17.7,10
156,Kansas (Big 12),34,27-7,563,16.6,9
257,Kennesaw St. (ASUN),34,26-8,610,17.9,8
314,Kent St. (MAC),34,28-6,647,19,13
114,Kentucky (SEC),32,21-11,516,16.1,8
251,La Salle (Atlantic 10),34,15-19,606,17.8,10
55,Lafayette (Patriot),34,11-23,523,15.4,3
79,Lamar University (Southland),31,9-22,488,15.7,10
167,Lehigh (Patriot),30,16-14,501,16.7,3
33,Liberty (ASUN),34,26-8,503,14.8,5
9,Lipscomb (ASUN),33,20-13,460,13.9,2
336,Little Rock (OVC),31,10-21,609,19.6,27
237,LIU (NEC),29,3-26,511,17.6,17
334,LMU (CA) (WCC),31,19-12,602,19.4,11
201,Long Beach St. (Big West),33,17-16,563,17.1,14
161,Longwood (Big South),32,20-12,531,16.6,8
212,Louisiana Tech (C-USA),33,15-18,570,17.3,15
188,Louisiana (Sun Belt),33,26-7,558,16.9,9
152,Louisville (ACC),32,4-28,527,16.5,8
333,Loyola Chicago (Atlantic 10),31,10-21,601,19.4,21
75,Loyola Maryland (Patriot),33,13-20,517,15.7,3
192,LSU (SEC),33,14-19,560,17,6
37,Maine (America East),30,13-17,446,14.9,4
141,Manhattan (MAAC),30,12-18,492,16.4,11
57,Marist (MAAC),33,13-20,509,15.4,4
128,Marquette (Big East),34,28-6,553,16.3,10
146,Marshall (Sun Belt),32,24-8,526,16.4,13
86,Maryland (Big Ten),33,21-12,523,15.8,6
225,Massachusetts (Atlantic 10),31,15-16,541,17.5,9
326,McNeese (Southland),34,11-23,655,19.3,15
287,Memphis (AAC),34,26-8,625,18.4,18
255,Mercer (SoCon),33,14-19,592,17.9,11
22,Miami (FL) (ACC),32,25-7,461,14.4,5
276,Miami (OH) (MAC),32,12-20,583,18.2,16
154,Michigan St. (Big Ten),31,19-12,512,16.5,4
64,Michigan (Big Ten),32,17-15,497,15.5,9
231,Middle Tenn. (C-USA),33,19-14,579,17.5,10
260,Milwaukee (Horizon),32,21-11,575,18,6
68,Minnesota (Big Ten),31,9-22,482,15.5,8
42,Mississippi St. (SEC),33,21-12,499,15.1,6
253,Mississippi Val. (SWAC),32,5-27,573,17.9,12
64,Missouri St. (MVC),32,17-15,497,15.5,8
270,Missouri (SEC),33,24-9,598,18.1,7
325,Monmouth (CAA),33,7-26,635,19.2,12
290,Montana St. (Big Sky),34,25-9,628,18.5,9
267,Montana (Big Sky),31,17-14,560,18.1,9
84,Morehead St. (OVC),32,21-11,507,15.8,9
348,Morgan St. (MEAC),31,15-16,647,20.9,22
137,Mount St. Mary's (MAAC),33,13-20,540,16.4,13
27,Murray St. (MVC),32,17-15,467,14.6,2
202,N.C. A&T (CAA),32,13-19,547,17.1,6
323,N.C. Central (MEAC),30,18-12,575,19.2,14
93,Navy (Patriot),31,18-13,494,15.9,5
222,NC State (ACC),33,23-10,574,17.4,13
16,Nebraska (Big Ten),32,16-16,452,14.1,3
254,Nevada (Mountain West),32,22-10,574,17.9,12
41,New Hampshire (America East),30,15-15,452,15.1,6
307,New Mexico St. (WAC),24,9-15,453,18.9,10
199,New Mexico (Mountain West),33,22-11,562,17,5
330,New Orleans (Southland),32,12-20,619,19.3,14
110,Niagara (MAAC),31,16-15,499,16.1,7
347,Nicholls (Southland),31,16-15,639,20.6,21
327,NIU (MAC),32,13-19,617,19.3,24
78,NJIT (America East),30,7-23,471,15.7,9
270,Norfolk St. (MEAC),33,22-11,598,18.1,8
172,North Ala. (ASUN),32,18-14,536,16.8,14
179,North Carolina (ACC),33,20-13,555,16.8,4
57,North Dakota St. (Summit League),33,16-17,509,15.4,7
83,North Dakota (Summit League),33,13-20,522,15.8,7
12,North Florida (ASUN),31,14-17,435,14,6
145,North Texas (C-USA),33,26-7,542,16.4,12
165,Northeastern (CAA),30,10-20,500,16.7,8
295,Northern Ariz. (Big Sky),35,12-23,649,18.5,16
299,Northern Colo. (Big Sky),32,12-20,596,18.6,22
55,Northern Ky. (Horizon),34,22-12,523,15.4,11
283,Northwestern St. (Southland),33,22-11,605,18.3,13
118,Northwestern (Big Ten),32,21-11,517,16.2,6
18,Notre Dame (ACC),32,11-21,456,14.2,7
11,Oakland (Horizon),32,13-19,448,14,9
139,Ohio St. (Big Ten),35,16-19,573,16.4,14
245,Ohio (MAC),33,19-14,585,17.7,11
212,Oklahoma St. (Big 12),33,18-15,570,17.3,7
121,Oklahoma (Big 12),32,15-17,518,16.2,10
171,Old Dominion (Sun Belt),31,19-12,519,16.7,9
92,Ole Miss (SEC),33,12-21,525,15.9,8
277,Omaha (Summit League),32,9-23,584,18.2,14
2,Oral Roberts (Summit League),34,30-4,445,13.1,3
248,Oregon St. (Pac-12),32,11-21,570,17.8,8
32,Oregon (Pac-12),33,19-14,487,14.8,4
316,Pacific (WCC),33,15-18,628,19,9
77,Penn St. (Big Ten),35,22-13,549,15.7,7
269,Penn (Ivy League),30,17-13,543,18.1,12
243,Pepperdine (WCC),31,9-22,548,17.7,16
126,Pittsburgh (ACC),33,22-11,536,16.2,10
352,Portland St. (Big Sky),31,12-19,700,22.6,21
231,Portland (WCC),33,14-19,579,17.5,13
319,Prairie View (SWAC),32,13-19,610,19.1,16
327,Presbyterian (Big South),32,5-27,617,19.3,20
125,Princeton (Ivy League),29,21-8,471,16.2,7
39,Providence (Big East),32,21-11,479,15,5
27,Purdue Fort Wayne (Horizon),32,17-15,467,14.6,3
6,Purdue (Big Ten),34,29-5,466,13.7,0
142,Quinnipiac (MAAC),32,20-12,525,16.4,8
193,Radford (Big South),33,19-14,561,17,9
258,Rhode Island (Atlantic 10),31,9-22,557,18,8
57,Rice (C-USA),33,18-15,509,15.4,6
42,Richmond (Atlantic 10),33,15-18,499,15.1,3
278,Rider (MAAC),30,16-14,548,18.3,11
115,Robert Morris (Horizon),33,16-17,533,16.2,8
101,Rutgers (Big Ten),33,19-14,529,16,8
64,Sacramento St. (Big Sky),32,14-18,497,15.5,8
49,Sacred Heart (NEC),33,16-17,502,15.2,3
150,Saint Francis (PA) (NEC),31,13-18,510,16.5,6
229,Saint Joseph's (Atlantic 10),33,16-17,578,17.5,18
188,Saint Louis (Atlantic 10),33,21-12,558,16.9,7
160,Saint Mary's (CA) (WCC),33,26-7,547,16.6,14
350,Saint Peter's (MAAC),32,14-18,681,21.3,14
273,Sam Houston (WAC),32,25-7,580,18.1,8
302,Samford (SoCon),32,21-11,598,18.7,15
112,San Diego St. (Mountain West),33,27-6,532,16.1,8
239,San Diego (WCC),31,11-20,547,17.6,13
292,San Francisco (WCC),34,20-14,629,18.5,11
