Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
64,A&M-Corpus Christi (Southland),33,23-10,"1,217",36.9,"1,097",33.2,3.6
252,Abilene Christian (WAC),30,13-17,972,32.4,"1,008",33.6,-1.2
305,Air Force (Mountain West),32,14-18,946,29.6,"1,036",32.4,-2.8
90,Akron (MAC),33,22-11,"1,178",35.7,"1,081",32.8,2.9
307,Alabama A&M (SWAC),33,15-18,"1,079",32.7,"1,179",35.7,-3
283,Alabama St. (SWAC),31,8-23,"1,117",36,"1,184",38.2,-2.2
7,Alabama (SEC),34,29-5,"1,508",44.4,"1,259",37,7.3
195,Alcorn (SWAC),31,18-13,"1,050",33.9,"1,041",33.6,0.3
162,American (Patriot),32,17-15,970,30.3,931,29.1,1.2
215,App State (Sun Belt),32,16-16,"1,142",35.7,"1,152",36,-0.3
279,Arizona St. (Pac-12),34,22-12,"1,253",36.9,"1,319",38.8,-1.9
16,Arizona (Pac-12),34,28-6,"1,339",39.4,"1,125",33.1,6.3
277,Ark.-Pine Bluff (SWAC),31,10-21,"1,071",34.5,"1,127",36.4,-1.8
187,Arkansas St. (Sun Belt),33,13-20,"1,108",33.6,"1,093",33.1,0.5
109,Arkansas (SEC),33,20-13,"1,162",35.2,"1,083",32.8,2.4
54,Army West Point (Patriot),33,17-16,"1,132",34.3,"1,002",30.4,3.9
165,Auburn (SEC),32,20-12,"1,159",36.2,"1,122",35.1,1.2
326,Austin Peay (ASUN),31,9-22,972,31.4,"1,092",35.2,-3.9
93,Ball St. (MAC),32,20-12,"1,147",35.8,"1,054",32.9,2.9
124,Baylor (Big 12),32,22-10,"1,097",34.3,"1,029",32.2,2.1
286,Belmont (MVC),32,21-11,"1,055",33,"1,127",35.2,-2.2
339,Bethune-Cookman (SWAC),32,12-20,"1,037",32.4,"1,209",37.8,-5.4
158,Binghamton (America East),31,13-18,"1,086",35,"1,042",33.6,1.4
75,Boise St. (Mountain West),33,24-9,"1,174",35.6,"1,063",32.2,3.4
242,Boston College (ACC),33,16-17,"1,093",33.1,"1,122",34,-0.9
143,Boston U. (Patriot),32,15-17,"1,136",35.5,"1,077",33.7,1.8
166,Bowling Green (MAC),31,11-20,"1,109",35.8,"1,074",34.6,1.1
58,Bradley (MVC),34,25-9,"1,201",35.3,"1,072",31.5,3.8
186,Brown (Ivy League),27,14-13,942,34.9,929,34.4,0.5
27,Bryant (America East),30,17-13,"1,179",39.3,"1,021",34,5.3
136,Bucknell (Patriot),32,12-20,"1,084",33.9,"1,020",31.9,2
101,Buffalo (MAC),32,15-17,"1,208",37.8,"1,125",35.2,2.6
345,Butler (Big East),32,14-18,958,29.9,"1,161",36.3,-6.3
24,BYU (WCC),34,19-15,"1,271",37.4,"1,084",31.9,5.5
193,Cal Poly (Big West),33,8-25,"1,080",32.7,"1,069",32.4,0.3
258,Cal St. Fullerton (Big West),33,20-13,"1,108",33.6,"1,153",34.9,-1.4
76,California Baptist (WAC),33,17-16,"1,227",37.2,"1,118",33.9,3.3
329,California (Pac-12),32,3-29,"1,007",31.5,"1,137",35.5,-4.1
224,Campbell (Big South),34,16-18,"1,066",31.4,"1,084",31.9,-0.5
284,Canisius (MAAC),30,10-20,"1,008",33.6,"1,073",35.8,-2.2
302,Central Ark. (ASUN),31,9-22,"1,128",36.4,"1,210",39,-2.6
