Rank,Team,GM,W-L,OPP PTS,OPP PPG
251,A&M-Corpus Christi (Southland),33,23-10,"2,394",72.5
207,Abilene Christian (WAC),30,13-17,"2,133",71.1
90,Air Force (Mountain West),32,14-18,"2,146",67.1
83,Akron (MAC),33,22-11,"2,209",66.9
199,Alabama A&M (SWAC),33,15-18,"2,340",70.9
256,Alabama St. (SWAC),31,8-23,"2,252",72.6
127,Alabama (SEC),34,29-5,"2,329",68.5
191,Alcorn (SWAC),31,18-13,"2,190",70.6
59,American (Patriot),32,17-15,"2,110",65.9
36,App State (Sun Belt),32,16-16,"2,067",64.6
106,Arizona St. (Pac-12),34,22-12,"2,302",67.7
219,Arizona (Pac-12),34,28-6,"2,431",71.5
161,Ark.-Pine Bluff (SWAC),31,10-21,"2,162",69.7
104,Arkansas St. (Sun Belt),33,13-20,"2,232",67.6
98,Arkansas (SEC),33,20-13,"2,224",67.4
184,Army West Point (Patriot),33,17-16,"2,322",70.4
90,Auburn (SEC),32,20-12,"2,146",67.1
244,Austin Peay (ASUN),31,9-22,"2,241",72.3
225,Ball St. (MAC),32,20-12,"2,292",71.6
178,Baylor (Big 12),32,22-10,"2,248",70.2
229,Belmont (MVC),32,21-11,"2,299",71.8
301,Bethune-Cookman (SWAC),32,12-20,"2,401",75
220,Binghamton (America East),31,13-18,"2,217",71.5
34,Boise St. (Mountain West),33,24-9,"2,123",64.3
176,Boston College (ACC),33,16-17,"2,317",70.2
92,Boston U. (Patriot),32,15-17,"2,151",67.2
341,Bowling Green (MAC),31,11-20,"2,434",78.5
15,Bradley (MVC),34,25-9,"2,114",62.2
151,Brown (Ivy League),27,14-13,"1,872",69.3
266,Bryant (America East),30,17-13,"2,193",73.1
127,Bucknell (Patriot),32,12-20,"2,192",68.5
337,Buffalo (MAC),32,15-17,"2,485",77.7
114,Butler (Big East),32,14-18,"2,174",67.9
168,BYU (WCC),34,19-15,"2,376",69.9
56,Cal Poly (Big West),33,8-25,"2,174",65.9
43,Cal St. Fullerton (Big West),33,20-13,"2,148",65.1
48,California Baptist (WAC),33,17-16,"2,156",65.3
173,California (Pac-12),32,3-29,"2,243",70.1
127,Campbell (Big South),34,16-18,"2,329",68.5
243,Canisius (MAAC),30,10-20,"2,167",72.2
349,Central Ark. (ASUN),31,9-22,"2,527",81.5
175,Central Conn. St. (NEC),32,10-22,"2,245",70.2
263,Central Mich. (MAC),31,10-21,"2,263",73
288,Charleston So. (Big South),31,10-21,"2,305",74.4
21,Charlotte (C-USA),32,18-14,"2,008",62.8
237,Chattanooga (SoCon),35,18-17,"2,523",72.1
264,Chicago St. (DI Independent),31,11-20,"2,264",73
149,Cincinnati (AAC),33,21-12,"2,284",69.2
112,Clemson (ACC),33,23-10,"2,240",67.9
117,Cleveland St. (Horizon),34,21-13,"2,314",68.1
283,Coastal Carolina (Sun Belt),31,11-20,"2,294",74
96,Col. of Charleston (CAA),34,31-3,"2,290",67.4
140,Colgate (Patriot),34,26-8,"2,345",69
216,Colorado St. (Mountain West),33,15-18,"2,355",71.4
78,Colorado (Pac-12),33,17-16,"2,203",66.8
314,Columbia (Ivy League),29,7-22,"2,197",75.8
351,Coppin St. (MEAC),32,9-23,"2,661",83.2
319,Cornell (Ivy League),28,17-11,"2,129",76
126,Creighton (Big East),33,21-12,"2,260",68.5
37,CSU Bakersfield (Big West),33,11-22,"2,134",64.7
132,CSUN (Big West),32,7-25,"2,194",68.6
247,Dartmouth (Ivy League),28,10-18,"2,027",72.4
136,Davidson (Atlantic 10),32,16-16,"2,197",68.7
11,Dayton (Atlantic 10),34,22-12,"2,075",61
312,Delaware St. (MEAC),30,6-24,"2,265",75.5
193,Delaware (CAA),33,17-16,"2,333",70.7
304,Denver (Summit League),32,15-17,"2,402",75.1
332,DePaul (Big East),33,10-23,"2,551",77.3
308,Detroit Mercy (Horizon),33,14-19,"2,486",75.3
31,Drake (MVC),34,27-7,"2,173",63.9
17,Drexel (CAA),32,17-15,"1,997",62.4
32,Duke (ACC),34,26-8,"2,174",63.9
198,Duquesne (Atlantic 10),32,20-12,"2,268",70.9
187,East Carolina (AAC),33,16-17,"2,327",70.5
240,Eastern Ill. (OVC),31,9-22,"2,235",72.1
241,Eastern Ky. (ASUN),33,20-13,"2,380",72.1
347,Eastern Mich. (MAC),31,8-23,"2,505",80.8
217,Eastern Wash. (Big Sky),32,22-10,"2,284",71.4
224,Elon (CAA),32,8-24,"2,291",71.6
142,ETSU (SoCon),32,12-20,"2,208",69
317,Evansville (MVC),32,5-27,"2,432",76
60,Fairfield (MAAC),31,13-18,"2,045",66
300,FDU (NEC),34,19-15,"2,547",74.9
155,FGCU (ASUN),32,17-15,"2,222",69.4
305,FIU (C-USA),32,14-18,"2,404",75.1
40,Fla. Atlantic (C-USA),34,31-3,"2,209",65
171,Florida A&M (SWAC),29,7-22,"2,030",70
321,Florida St. (ACC),32,9-23,"2,439",76.2
136,Florida (SEC),32,16-16,"2,197",68.7
103,Fordham (Atlantic 10),33,25-8,"2,231",67.6
54,Fresno St. (Mountain West),31,11-20,"2,036",65.7
210,Furman (SoCon),34,27-7,"2,421",71.2
75,Ga. Southern (Sun Belt),33,17-16,"2,201",66.7
51,Gardner-Webb (Big South),31,15-16,"2,032",65.5
95,George Mason (Atlantic 10),33,20-13,"2,220",67.3
327,George Washington (Atlantic 10),32,16-16,"2,455",76.7
339,Georgetown (Big East),32,7-25,"2,500",78.1
152,Georgia St. (Sun Belt),31,10-21,"2,150",69.4
195,Georgia Tech (ACC),33,15-18,"2,335",70.8
221,Georgia (SEC),32,16-16,"2,289",71.5
262,Gonzaga (WCC),33,28-5,"2,406",72.9
16,Grambling (SWAC),33,24-9,"2,054",62.2
81,Grand Canyon (WAC),35,24-11,"2,339",66.8
324,Green Bay (Horizon),32,3-29,"2,447",76.5
335,Hampton (CAA),32,8-24,"2,481",77.5
208,Hartford (DI Independent),28,5-23,"1,991",71.1
68,Harvard (Ivy League),28,14-14,"1,858",66.4
14,Hawaii (Big West),33,22-11,"2,039",61.8
330,High Point (Big South),31,14-17,"2,392",77.2
49,Hofstra (CAA),33,24-9,"2,159",65.4
254,Holy Cross (Patriot),32,10-22,"2,324",72.6
350,Houston Christian (Southland),32,10-22,"2,658",83.1
2,Houston (AAC),34,31-3,"1,921",56.5
230,Howard (MEAC),34,22-12,"2,446",71.9
202,Idaho St. (Big Sky),32,11-21,"2,272",71
260,Idaho (Big Sky),32,10-22,"2,332",72.9
185,Illinois St. (MVC),32,11-21,"2,255",70.5
84,Illinois (Big Ten),32,20-12,"2,143",67
150,Indiana St. (MVC),34,22-12,"2,356",69.3
124,Indiana (Big Ten),33,22-11,"2,259",68.5
41,Iona (MAAC),34,27-7,"2,210",65
21,Iowa St. (Big 12),32,19-13,"2,008",62.8
292,Iowa (Big Ten),32,19-13,"2,381",74.4
328,IUPUI (Horizon),32,5-27,"2,456",76.8
274,Jackson St. (SWAC),33,14-19,"2,429",73.6
180,Jacksonville St. (ASUN),31,13-18,"2,178",70.3
19,Jacksonville (ASUN),29,13-16,"1,816",62.6
118,James Madison (Sun Belt),33,22-11,"2,246",68.1
138,Kansas City (Summit League),32,11-21,"2,199",68.7
144,Kansas St. (Big 12),32,23-9,"2,209",69
115,Kansas (Big 12),34,27-7,"2,310",67.9
139,Kennesaw St. (ASUN),34,26-8,"2,343",68.9
55,Kent St. (MAC),34,28-6,"2,234",65.7
116,Kentucky (SEC),32,21-11,"2,177",68
252,La Salle (Atlantic 10),34,15-19,"2,468",72.6
53,Lafayette (Patriot),34,11-23,"2,232",65.6
295,Lamar University (Southland),31,9-22,"2,311",74.5
153,Lehigh (Patriot),30,16-14,"2,082",69.4
9,Liberty (ASUN),34,26-8,"2,062",60.6
202,Lipscomb (ASUN),33,20-13,"2,343",71
344,Little Rock (OVC),31,10-21,"2,461",79.4
345,LIU (NEC),29,3-26,"2,319",80
265,LMU (CA) (WCC),31,19-12,"2,265",73.1
291,Long Beach St. (Big West),33,17-16,"2,455",74.4
66,Longwood (Big South),32,20-12,"2,119",66.2
181,Louisiana Tech (C-USA),33,15-18,"2,320",70.3
165,Louisiana (Sun Belt),33,26-7,"2,304",69.8
315,Louisville (ACC),32,4-28,"2,425",75.8
249,Loyola Chicago (Atlantic 10),31,10-21,"2,247",72.5
190,Loyola Maryland (Patriot),33,13-20,"2,331",70.6
194,LSU (SEC),33,14-19,"2,334",70.7
158,Maine (America East),30,13-17,"2,091",69.7
183,Manhattan (MAAC),30,12-18,"2,110",70.3
72,Marist (MAAC),33,13-20,"2,199",66.6
188,Marquette (Big East),34,28-6,"2,400",70.6
213,Marshall (Sun Belt),32,24-8,"2,281",71.3
25,Maryland (Big Ten),33,21-12,"2,084",63.2
