Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
48,A&M-Corpus Christi (Southland),33,23-10,"2,653",80.4,"2,394",72.5,7.8
131,Abilene Christian (WAC),30,13-17,"2,249",75,"2,133",71.1,3.9
216,Air Force (Mountain West),32,14-18,"2,142",66.9,"2,146",67.1,-0.1
49,Akron (MAC),33,22-11,"2,463",74.6,"2,209",66.9,7.7
245,Alabama A&M (SWAC),33,15-18,"2,297",69.6,"2,340",70.9,-1.3
339,Alabama St. (SWAC),31,8-23,"1,963",63.3,"2,252",72.6,-9.3
8,Alabama (SEC),34,29-5,"2,794",82.2,"2,329",68.5,13.7
266,Alcorn (SWAC),31,18-13,"2,112",68.1,"2,190",70.6,-2.5
223,American (Patriot),32,17-15,"2,093",65.4,"2,110",65.9,-0.5
91,App State (Sun Belt),32,16-16,"2,248",70.2,"2,067",64.6,5.7
159,Arizona St. (Pac-12),34,22-12,"2,391",70.3,"2,302",67.7,2.6
18,Arizona (Pac-12),34,28-6,"2,811",82.7,"2,431",71.5,11.2
275,Ark.-Pine Bluff (SWAC),31,10-21,"2,074",66.9,"2,162",69.7,-2.8
256,Arkansas St. (Sun Belt),33,13-20,"2,169",65.7,"2,232",67.6,-1.9
67,Arkansas (SEC),33,20-13,"2,456",74.4,"2,224",67.4,7
158,Army West Point (Patriot),33,17-16,"2,412",73.1,"2,322",70.4,2.7
91,Auburn (SEC),32,20-12,"2,327",72.7,"2,146",67.1,5.7
310,Austin Peay (ASUN),31,9-22,"2,067",66.7,"2,241",72.3,-5.6
111,Ball St. (MAC),32,20-12,"2,445",76.4,"2,292",71.6,4.8
71,Baylor (Big 12),32,22-10,"2,469",77.2,"2,248",70.2,6.9
113,Belmont (MVC),32,21-11,"2,447",76.5,"2,299",71.8,4.6
325,Bethune-Cookman (SWAC),32,12-20,"2,172",67.9,"2,401",75,-7.2
272,Binghamton (America East),31,13-18,"2,133",68.8,"2,217",71.5,-2.7
46,Boise St. (Mountain West),33,24-9,"2,384",72.2,"2,123",64.3,7.9
293,Boston College (ACC),33,16-17,"2,197",66.6,"2,317",70.2,-3.6
216,Boston U. (Patriot),32,15-17,"2,147",67.1,"2,151",67.2,-0.1
267,Bowling Green (MAC),31,11-20,"2,355",76,"2,434",78.5,-2.5
35,Bradley (MVC),34,25-9,"2,411",70.9,"2,114",62.2,8.7
208,Brown (Ivy League),27,14-13,"1,878",69.6,"1,872",69.3,0.2
81,Bryant (America East),30,17-13,"2,381",79.4,"2,193",73.1,6.3
237,Bucknell (Patriot),32,12-20,"2,161",67.5,"2,192",68.5,-1
216,Buffalo (MAC),32,15-17,"2,481",77.5,"2,485",77.7,-0.1
270,Butler (Big East),32,14-18,"2,088",65.2,"2,174",67.9,-2.7
93,BYU (WCC),34,19-15,"2,568",75.5,"2,376",69.9,5.6
305,Cal Poly (Big West),33,8-25,"2,006",60.8,"2,174",65.9,-5.1
124,Cal St. Fullerton (Big West),33,20-13,"2,283",69.2,"2,148",65.1,4.1
124,California Baptist (WAC),33,17-16,"2,291",69.4,"2,156",65.3,4.1
345,California (Pac-12),32,3-29,"1,866",58.3,"2,243",70.1,-11.8
186,Campbell (Big South),34,16-18,"2,374",69.8,"2,329",68.5,1.3
258,Canisius (MAAC),30,10-20,"2,109",70.4,"2,167",72.3,-1.9
335,Central Ark. (ASUN),31,9-22,"2,261",72.9,"2,527",81.5,-8.6
298,Central Conn. St. (NEC),32,10-22,"2,111",66,"2,245",70.2,-4.2
326,Central Mich. (MAC),31,10-21,"2,038",65.7,"2,263",73,-7.3
252,Charleston So. (Big South),31,10-21,"2,251",72.6,"2,305",74.4,-1.7
127,Charlotte (C-USA),32,18-14,"2,135",66.7,"2,008",62.8,4
105,Chattanooga (SoCon),35,18-17,"2,702",77.2,"2,523",72.1,5.1
272,Chicago St. (DI Independent),31,11-20,"2,180",70.3,"2,264",73,-2.7
45,Cincinnati (AAC),33,21-12,"2,548",77.2,"2,284",69.2,8
65,Clemson (ACC),33,23-10,"2,476",75,"2,240",67.9,7.2
