Rank,Team,GM,W-L,PTS,PPG
17,A&M-Corpus Christi (Southland),33,23-10,"2,653",80.4
100,Abilene Christian (WAC),30,13-17,"2,249",75
291,Air Force (Mountain West),32,14-18,"2,142",66.9
110,Akron (MAC),33,22-11,"2,463",74.6
221,Alabama A&M (SWAC),33,15-18,"2,297",69.6
336,Alabama St. (SWAC),31,8-23,"1,963",63.3
7,Alabama (SEC),34,29-5,"2,794",82.2
266,Alcorn (SWAC),31,18-13,"2,112",68.1
317,American (Patriot),32,17-15,"2,093",65.4
201,App State (Sun Belt),32,16-16,"2,248",70.2
198,Arizona St. (Pac-12),34,22-12,"2,391",70.3
5,Arizona (Pac-12),34,28-6,"2,811",82.7
294,Ark.-Pine Bluff (SWAC),31,10-21,"2,074",66.9
313,Arkansas St. (Sun Belt),33,13-20,"2,169",65.7
115,Arkansas (SEC),33,20-13,"2,456",74.4
141,Army West Point (Patriot),33,17-16,"2,412",73.1
150,Auburn (SEC),32,20-12,"2,327",72.7
302,Austin Peay (ASUN),31,9-22,"2,067",66.7
65,Ball St. (MAC),32,20-12,"2,445",76.4
53,Baylor (Big 12),32,22-10,"2,469",77.2
64,Belmont (MVC),32,21-11,"2,447",76.5
269,Bethune-Cookman (SWAC),32,12-20,"2,172",67.9
248,Binghamton (America East),31,13-18,"2,133",68.8
162,Boise St. (Mountain West),33,24-9,"2,384",72.2
303,Boston College (ACC),33,16-17,"2,197",66.6
290,Boston U. (Patriot),32,15-17,"2,147",67.1
77,Bowling Green (MAC),31,11-20,"2,355",76
189,Bradley (MVC),34,25-9,"2,411",70.9
224,Brown (Ivy League),27,14-13,"1,878",69.6
26,Bryant (America East),30,17-13,"2,381",79.4
278,Bucknell (Patriot),32,12-20,"2,161",67.5
48,Buffalo (MAC),32,15-17,"2,481",77.5
321,Butler (Big East),32,14-18,"2,088",65.2
84,BYU (WCC),34,19-15,"2,568",75.5
348,Cal Poly (Big West),33,8-25,"2,006",60.8
235,Cal St. Fullerton (Big West),33,20-13,"2,283",69.2
227,California Baptist (WAC),33,17-16,"2,291",69.4
352,California (Pac-12),32,3-29,"1,866",58.3
213,Campbell (Big South),34,16-18,"2,374",69.8
200,Canisius (MAAC),30,10-20,"2,109",70.3
148,Central Ark. (ASUN),31,9-22,"2,261",72.9
310,Central Conn. St. (NEC),32,10-22,"2,111",66
312,Central Mich. (MAC),31,10-21,"2,038",65.7
154,Charleston So. (Big South),31,10-21,"2,251",72.6
299,Charlotte (C-USA),32,18-14,"2,135",66.7
52,Chattanooga (SoCon),35,18-17,"2,702",77.2
199,Chicago St. (DI Independent),31,11-20,"2,180",70.3
51,Cincinnati (AAC),33,21-12,"2,548",77.2
96,Clemson (ACC),33,23-10,"2,476",75
179,Cleveland St. (Horizon),34,21-13,"2,437",71.7
133,Coastal Carolina (Sun Belt),31,11-20,"2,273",73.3
14,Col. of Charleston (CAA),34,31-3,"2,747",80.8
31,Colgate (Patriot),34,26-8,"2,672",78.6
158,Colorado St. (Mountain West),33,15-18,"2,391",72.5
208,Colorado (Pac-12),33,17-16,"2,311",70
272,Columbia (Ivy League),29,7-22,"1,966",67.8
170,Coppin St. (MEAC),32,9-23,"2,304",72
10,Cornell (Ivy League),28,17-11,"2,287",81.7
58,Creighton (Big East),33,21-12,"2,529",76.6
349,CSU Bakersfield (Big West),33,11-22,"1,995",60.5
334,CSUN (Big West),32,7-25,"2,028",63.4
183,Dartmouth (Ivy League),28,10-18,"1,998",71.4
210,Davidson (Atlantic 10),32,16-16,"2,236",69.9
252,Dayton (Atlantic 10),34,22-12,"2,334",68.6
326,Delaware St. (MEAC),30,6-24,"1,939",64.6
220,Delaware (CAA),33,17-16,"2,298",69.6
152,Denver (Summit League),32,15-17,"2,325",72.7
185,DePaul (Big East),33,10-23,"2,349",71.2
62,Detroit Mercy (Horizon),33,14-19,"2,527",76.6
88,Drake (MVC),34,27-7,"2,561",75.3
299,Drexel (CAA),32,17-15,"2,135",66.7
155,Duke (ACC),34,26-8,"2,466",72.5
105,Duquesne (Atlantic 10),32,20-12,"2,394",74.8
247,East Carolina (AAC),33,16-17,"2,271",68.8
246,Eastern Ill. (OVC),31,9-22,"2,134",68.8
49,Eastern Ky. (ASUN),33,20-13,"2,553",77.4
163,Eastern Mich. (MAC),31,8-23,"2,239",72.2
55,Eastern Wash. (Big Sky),32,22-10,"2,466",77.1
316,Elon (CAA),32,8-24,"2,094",65.4
240,ETSU (SoCon),32,12-20,"2,211",69.1
342,Evansville (MVC),32,5-27,"1,997",62.4
324,Fairfield (MAAC),31,13-18,"2,012",64.9
42,FDU (NEC),34,19-15,"2,646",77.8
184,FGCU (ASUN),32,17-15,"2,280",71.2
139,FIU (C-USA),32,14-18,"2,339",73.1
28,Fla. Atlantic (C-USA),34,31-3,"2,679",78.8
351,Florida A&M (SWAC),29,7-22,"1,700",58.6
230,Florida St. (ACC),32,9-23,"2,219",69.3
175,Florida (SEC),32,16-16,"2,302",71.9
170,Fordham (Atlantic 10),33,25-8,"2,376",72
332,Fresno St. (Mountain West),31,11-20,"1,974",63.7
8,Furman (SoCon),34,27-7,"2,791",82.1
261,Ga. Southern (Sun Belt),33,17-16,"2,257",68.4
192,Gardner-Webb (Big South),31,15-16,"2,192",70.7
249,George Mason (Atlantic 10),33,20-13,"2,268",68.7
69,George Washington (Atlantic 10),32,16-16,"2,441",76.3
225,Georgetown (Big East),32,7-25,"2,225",69.5
301,Georgia St. (Sun Belt),31,10-21,"2,068",66.7
218,Georgia Tech (ACC),33,15-18,"2,301",69.7
254,Georgia (SEC),32,16-16,"2,193",68.5
1,Gonzaga (WCC),33,28-5,"2,888",87.5
241,Grambling (SWAC),33,24-9,"2,276",69
90,Grand Canyon (WAC),35,24-11,"2,636",75.3
350,Green Bay (Horizon),32,3-29,"1,898",59.3
264,Hampton (CAA),32,8-24,"2,183",68.2
341,Hartford (DI Independent),28,5-23,"1,757",62.8
262,Harvard (Ivy League),28,14-14,"1,914",68.4
293,Hawaii (Big West),33,22-11,"2,208",66.9
113,High Point (Big South),31,14-17,"2,312",74.6
107,Hofstra (CAA),33,24-9,"2,466",74.7
296,Holy Cross (Patriot),32,10-22,"2,136",66.8
46,Houston Christian (Southland),32,10-22,"2,482",77.6
98,Houston (AAC),34,31-3,"2,551",75
86,Howard (MEAC),34,22-12,"2,566",75.5
238,Idaho St. (Big Sky),32,11-21,"2,213",69.2
146,Idaho (Big Sky),32,10-22,"2,335",73
304,Illinois St. (MVC),32,11-21,"2,127",66.5
109,Illinois (Big Ten),32,20-12,"2,389",74.7
24,Indiana St. (MVC),34,22-12,"2,700",79.4
96,Indiana (Big Ten),33,22-11,"2,476",75
67,Iona (MAAC),34,27-7,"2,595",76.3
260,Iowa St. (Big 12),32,19-13,"2,190",68.4
18,Iowa (Big Ten),32,19-13,"2,567",80.2
320,IUPUI (Horizon),32,5-27,"2,089",65.3
276,Jackson St. (SWAC),33,14-19,"2,232",67.6
211,Jacksonville St. (ASUN),31,13-18,"2,166",69.9
335,Jacksonville (ASUN),29,13-16,"1,837",63.3
15,James Madison (Sun Belt),33,22-11,"2,658",80.5
327,Kansas City (Summit League),32,11-21,"2,060",64.4
85,Kansas St. (Big 12),32,23-9,"2,416",75.5
102,Kansas (Big 12),34,27-7,"2,548",74.9
91,Kennesaw St. (ASUN),34,26-8,"2,559",75.3
59,Kent St. (MAC),34,28-6,"2,605",76.6
95,Kentucky (SEC),32,21-11,"2,402",75.1
213,La Salle (Atlantic 10),34,15-19,"2,374",69.8
343,Lafayette (Patriot),34,11-23,"2,120",62.4
270,Lamar University (Southland),31,9-22,"2,104",67.9
215,Lehigh (Patriot),30,16-14,"2,094",69.8
94,Liberty (ASUN),34,26-8,"2,556",75.2
66,Lipscomb (ASUN),33,20-13,"2,521",76.4
87,Little Rock (OVC),31,10-21,"2,337",75.4
298,LIU (NEC),29,3-26,"1,935",66.7
89,LMU (CA) (WCC),31,19-12,"2,335",75.3
63,Long Beach St. (Big West),33,17-16,"2,524",76.5
135,Longwood (Big South),32,20-12,"2,341",73.2
165,Louisiana Tech (C-USA),33,15-18,"2,383",72.2
38,Louisiana (Sun Belt),33,26-7,"2,575",78
331,Louisville (ACC),32,4-28,"2,046",63.9
283,Loyola Chicago (Atlantic 10),31,10-21,"2,089",67.4
284,Loyola Maryland (Patriot),33,13-20,"2,222",67.3
277,LSU (SEC),33,14-19,"2,231",67.6
258,Maine (America East),30,13-17,"2,054",68.5
289,Manhattan (MAAC),30,12-18,"2,014",67.1
330,Marist (MAAC),33,13-20,"2,110",63.9
19,Marquette (Big East),34,28-6,"2,718",79.9
9,Marshall (Sun Belt),32,24-8,"2,616",81.8
196,Maryland (Big Ten),33,21-12,"2,322",70.4
216,Massachusetts (Atlantic 10),31,15-16,"2,163",69.8
236,McNeese (Southland),34,11-23,"2,352",69.2
22,Memphis (AAC),34,26-8,"2,713",79.8
249,Mercer (SoCon),33,14-19,"2,268",68.7
25,Miami (FL) (ACC),32,25-7,"2,541",79.4
128,Miami (OH) (MAC),32,12-20,"2,357",73.7
203,Michigan St. (Big Ten),31,19-12,"2,177",70.2
139,Michigan (Big Ten),32,17-15,"2,339",73.1
207,Middle Tenn. (C-USA),33,19-14,"2,313",70.1
34,Milwaukee (Horizon),32,21-11,"2,507",78.3
340,Minnesota (Big Ten),31,9-22,"1,949",62.9
311,Mississippi St. (SEC),33,21-12,"2,175",65.9
347,Mississippi Val. (SWAC),32,5-27,"1,953",61
315,Missouri St. (MVC),32,17-15,"2,098",65.6
23,Missouri (SEC),33,24-9,"2,623",79.5
345,Monmouth (CAA),33,7-26,"2,036",61.7
120,Montana St. (Big Sky),34,25-9,"2,523",74.2
234,Montana (Big Sky),31,17-14,"2,147",69.3
204,Morehead St. (OVC),32,21-11,"2,247",70.2
103,Morgan St. (MEAC),31,15-16,"2,323",74.9
333,Mount St. Mary's (MAAC),33,13-20,"2,101",63.7
195,Murray St. (MVC),32,17-15,"2,254",70.4
191,N.C. A&T (CAA),32,13-19,"2,264",70.8
82,N.C. Central (MEAC),30,18-12,"2,268",75.6
228,Navy (Patriot),31,18-13,"2,152",69.4
35,NC State (ACC),33,23-10,"2,580",78.2
267,Nebraska (Big Ten),32,16-16,"2,175",68
153,Nevada (Mountain West),32,22-10,"2,324",72.6
