Rank,Team,GM,W-L,ST,STPG
22,A&M-Corpus Christi (Southland),33,23-10,289,8.8
19,Abilene Christian (WAC),30,13-17,264,8.8
243,Air Force (Mountain West),32,14-18,184,5.8
222,Akron (MAC),33,22-11,199,6
48,Alabama A&M (SWAC),33,15-18,264,8
230,Alabama St. (SWAC),31,8-23,182,5.9
220,Alabama (SEC),34,29-5,206,6.1
46,Alcorn (SWAC),31,18-13,249,8
73,American (Patriot),32,17-15,238,7.4
180,App State (Sun Belt),32,16-16,204,6.4
87,Arizona St. (Pac-12),34,22-12,247,7.3
212,Arizona (Pac-12),34,28-6,208,6.1
44,Ark.-Pine Bluff (SWAC),31,10-21,250,8.1
151,Arkansas St. (Sun Belt),33,13-20,220,6.7
30,Arkansas (SEC),33,20-13,277,8.4
310,Army West Point (Patriot),33,17-16,168,5.1
48,Auburn (SEC),32,20-12,256,8
100,Austin Peay (ASUN),31,9-22,220,7.1
271,Ball St. (MAC),32,20-12,176,5.5
154,Baylor (Big 12),32,22-10,213,6.7
106,Belmont (MVC),32,21-11,225,7
90,Bethune-Cookman (SWAC),32,12-20,231,7.2
334,Binghamton (America East),31,13-18,144,4.6
307,Boise St. (Mountain West),33,24-9,169,5.1
183,Boston College (ACC),33,16-17,210,6.4
177,Boston U. (Patriot),32,15-17,205,6.4
216,Bowling Green (MAC),31,11-20,188,6.1
113,Bradley (MVC),34,25-9,237,7
93,Brown (Ivy League),27,14-13,194,7.2
151,Bryant (America East),30,17-13,200,6.7
271,Bucknell (Patriot),32,12-20,176,5.5
54,Buffalo (MAC),32,15-17,254,7.9
140,Butler (Big East),32,14-18,216,6.8
76,BYU (WCC),34,19-15,252,7.4
275,Cal Poly (Big West),33,8-25,181,5.5
166,Cal St. Fullerton (Big West),33,20-13,214,6.5
344,California Baptist (WAC),33,17-16,146,4.4
330,California (Pac-12),32,3-29,151,4.7
200,Campbell (Big South),34,16-18,212,6.2
264,Canisius (MAAC),30,10-20,168,5.6
164,Central Ark. (ASUN),31,9-22,202,6.5
265,Central Conn. St. (NEC),32,10-22,179,5.6
234,Central Mich. (MAC),31,10-21,181,5.8
311,Charleston So. (Big South),31,10-21,157,5.1
294,Charlotte (C-USA),32,18-14,171,5.3
249,Chattanooga (SoCon),35,18-17,200,5.7
258,Chicago St. (DI Independent),31,11-20,175,5.6
194,Cincinnati (AAC),33,21-12,207,6.3
302,Clemson (ACC),33,23-10,170,5.2
113,Cleveland St. (Horizon),34,21-13,237,7
216,Coastal Carolina (Sun Belt),31,11-20,188,6.1
80,Col. of Charleston (CAA),34,31-3,250,7.4
113,Colgate (Patriot),34,26-8,237,7
256,Colorado St. (Mountain West),33,15-18,187,5.7
61,Colorado (Pac-12),33,17-16,250,7.6
138,Columbia (Ivy League),29,7-22,196,6.8
57,Coppin St. (MEAC),32,9-23,246,7.7
5,Cornell (Ivy League),28,17-11,272,9.7
299,Creighton (Big East),33,21-12,173,5.2
203,CSU Bakersfield (Big West),33,11-22,205,6.2
193,CSUN (Big West),32,7-25,201,6.3
278,Dartmouth (Ivy League),28,10-18,153,5.5
285,Davidson (Atlantic 10),32,16-16,172,5.4
327,Dayton (Atlantic 10),34,22-12,163,4.8
117,Delaware St. (MEAC),30,6-24,209,7
120,Delaware (CAA),33,17-16,228,6.9
268,Denver (Summit League),32,15-17,177,5.5
178,DePaul (Big East),33,10-23,211,6.4
211,Detroit Mercy (Horizon),33,14-19,202,6.1
284,Drake (MVC),34,27-7,183,5.4
260,Drexel (CAA),32,17-15,180,5.6
250,Duke (ACC),34,26-8,194,5.7
36,Duquesne (Atlantic 10),32,20-12,265,8.3
166,East Carolina (AAC),33,16-17,214,6.5
31,Eastern Ill. (OVC),31,9-22,260,8.4
