Rank,Team,GM,W-L,Opp TO,TO,Ratio
44,A&M-Corpus Christi (Southland),33,23-10,509,428,2.5
5,Abilene Christian (WAC),30,13-17,530,379,5
278,Air Force (Mountain West),32,14-18,352,391,-1.2
110,Akron (MAC),33,22-11,407,370,1.1
160,Alabama A&M (SWAC),33,15-18,510,498,0.4
273,Alabama St. (SWAC),31,8-23,379,414,-1.1
323,Alabama (SEC),34,29-5,403,479,-2.2
59,Alcorn (SWAC),31,18-13,451,393,1.9
304,American (Patriot),32,17-15,390,448,-1.8
83,App State (Sun Belt),32,16-16,399,352,1.5
43,Arizona St. (Pac-12),34,22-12,489,402,2.6
264,Arizona (Pac-12),34,28-6,420,455,-1
129,Ark.-Pine Bluff (SWAC),31,10-21,497,473,0.8
201,Arkansas St. (Sun Belt),33,13-20,382,385,-0.1
89,Arkansas (SEC),33,20-13,473,426,1.4
318,Army West Point (Patriot),33,17-16,356,427,-2.2
128,Auburn (SEC),32,20-12,427,399,0.9
62,Austin Peay (ASUN),31,9-22,421,364,1.8
230,Ball St. (MAC),32,20-12,373,391,-0.6
106,Baylor (Big 12),32,22-10,432,394,1.2
96,Belmont (MVC),32,21-11,406,365,1.3
131,Bethune-Cookman (SWAC),32,12-20,437,413,0.8
325,Binghamton (America East),31,13-18,334,404,-2.3
135,Boise St. (Mountain West),33,24-9,394,370,0.7
191,Boston College (ACC),33,16-17,406,405,0
154,Boston U. (Patriot),32,15-17,397,384,0.4
238,Bowling Green (MAC),31,11-20,357,378,-0.7
104,Bradley (MVC),34,25-9,439,398,1.2
147,Brown (Ivy League),27,14-13,374,361,0.5
262,Bryant (America East),30,17-13,372,402,-1
338,Bucknell (Patriot),32,12-20,332,427,-3
207,Buffalo (MAC),32,15-17,447,452,-0.2
138,Butler (Big East),32,14-18,400,378,0.7
226,BYU (WCC),34,19-15,464,481,-0.5
289,Cal Poly (Big West),33,8-25,408,457,-1.5
49,Cal St. Fullerton (Big West),33,20-13,466,391,2.3
234,California Baptist (WAC),33,17-16,358,379,-0.6
332,California (Pac-12),32,3-29,332,417,-2.7
148,Campbell (Big South),34,16-18,420,404,0.5
98,Canisius (MAAC),30,10-20,395,357,1.3
255,Central Ark. (ASUN),31,9-22,385,413,-0.9
258,Central Conn. St. (NEC),32,10-22,350,380,-0.9
329,Central Mich. (MAC),31,10-21,415,494,-2.5
223,Charleston So. (Big South),31,10-21,350,365,-0.5
172,Charlotte (C-USA),32,18-14,353,346,0.2
268,Chattanooga (SoCon),35,18-17,369,407,-1.1
317,Chicago St. (DI Independent),31,11-20,357,422,-2.1
72,Cincinnati (AAC),33,21-12,405,351,1.6
178,Clemson (ACC),33,23-10,375,369,0.2
47,Cleveland St. (Horizon),34,21-13,475,396,2.3
238,Coastal Carolina (Sun Belt),31,11-20,358,379,-0.7
65,Col. of Charleston (CAA),34,31-3,468,408,1.8
51,Colgate (Patriot),34,26-8,419,346,2.1
120,Colorado St. (Mountain West),33,15-18,400,368,1
164,Colorado (Pac-12),33,17-16,451,441,0.3
244,Columbia (Ivy League),29,7-22,379,401,-0.8
274,Coppin St. (MEAC),32,9-23,440,477,-1.2
19,Cornell (Ivy League),28,17-11,446,348,3.5
296,Creighton (Big East),33,21-12,330,384,-1.6
140,CSU Bakersfield (Big West),33,11-22,445,424,0.6
228,CSUN (Big West),32,7-25,383,400,-0.5
316,Dartmouth (Ivy League),28,10-18,346,404,-2.1
131,Davidson (Atlantic 10),32,16-16,371,347,0.8
300,Dayton (Atlantic 10),34,22-12,352,411,-1.7
306,Delaware St. (MEAC),30,6-24,425,481,-1.9
89,Delaware (CAA),33,17-16,421,374,1.4
348,Denver (Summit League),32,15-17,359,479,-3.8
216,DePaul (Big East),33,10-23,415,427,-0.4
203,Detroit Mercy (Horizon),33,14-19,386,390,-0.1
71,Drake (MVC),34,27-7,412,356,1.6
161,Drexel (CAA),32,17-15,384,373,0.3
266,Duke (ACC),34,26-8,373,409,-1.1
40,Duquesne (Atlantic 10),32,20-12,464,381,2.6
280,East Carolina (AAC),33,16-17,392,435,-1.3
100,Eastern Ill. (OVC),31,9-22,457,419,1.2
49,Eastern Ky. (ASUN),33,20-13,476,401,2.3
142,Eastern Mich. (MAC),31,8-23,384,367,0.5
330,Eastern Wash. (Big Sky),32,22-10,353,435,-2.6
249,Elon (CAA),32,8-24,368,395,-0.8
259,ETSU (SoCon),32,12-20,389,420,-1
127,Evansville (MVC),32,5-27,421,392,0.9
205,Fairfield (MAAC),31,13-18,363,367,-0.1
13,FDU (NEC),34,19-15,530,391,4.1
159,FGCU (ASUN),32,17-15,377,365,0.4
67,FIU (C-USA),32,14-18,528,473,1.7
114,Fla. Atlantic (C-USA),34,31-3,436,400,1.1
345,Florida A&M (SWAC),29,7-22,363,464,-3.5
215,Florida St. (ACC),32,9-23,377,388,-0.3
96,Florida (SEC),32,16-16,394,353,1.3
190,Fordham (Atlantic 10),33,25-8,448,446,0.1
93,Fresno St. (Mountain West),31,11-20,401,359,1.4
51,Furman (SoCon),34,27-7,452,379,2.1
76,Ga. Southern (Sun Belt),33,17-16,429,378,1.5
109,Gardner-Webb (Big South),31,15-16,438,403,1.1
321,George Mason (Atlantic 10),33,20-13,380,453,-2.2
290,George Washington (Atlantic 10),32,16-16,355,403,-1.5
272,Georgetown (Big East),32,7-25,356,392,-1.1
255,Georgia St. (Sun Belt),31,10-21,372,400,-0.9
157,Georgia Tech (ACC),33,15-18,362,349,0.4
299,Georgia (SEC),32,16-16,368,423,-1.7
24,Gonzaga (WCC),33,28-5,459,349,3.3
167,Grambling (SWAC),33,24-9,484,475,0.3
283,Grand Canyon (WAC),35,24-11,375,423,-1.4
342,Green Bay (Horizon),32,3-29,342,447,-3.3
186,Hampton (CAA),32,8-24,357,354,0.1
322,Hartford (DI Independent),28,5-23,341,403,-2.2
251,Harvard (Ivy League),28,14-14,357,381,-0.9
285,Hawaii (Big West),33,22-11,355,401,-1.4
302,High Point (Big South),31,14-17,383,438,-1.8
53,Hofstra (CAA),33,24-9,417,349,2.1
176,Holy Cross (Patriot),32,10-22,393,387,0.2
331,Houston Christian (Southland),32,10-22,405,489,-2.6
10,Houston (AAC),34,31-3,485,338,4.3
246,Howard (MEAC),34,22-12,528,555,-0.8
143,Idaho St. (Big Sky),32,11-21,387,370,0.5
176,Idaho (Big Sky),32,10-22,368,362,0.2
344,Illinois St. (MVC),32,11-21,357,466,-3.4
165,Illinois (Big Ten),32,20-12,418,409,0.3
126,Indiana St. (MVC),34,22-12,432,401,0.9
220,Indiana (Big Ten),33,22-11,370,383,-0.4
14,Iona (MAAC),34,27-7,494,361,3.9
19,Iowa St. (Big 12),32,19-13,531,419,3.5
