Rank,Team,GM,W-L,TO,TOPG
233,A&M-Corpus Christi (Southland),33,23-10,428,13
203,Abilene Christian (WAC),30,13-17,379,12.6
164,Air Force (Mountain West),32,14-18,391,12.2
57,Akron (MAC),33,22-11,370,11.2
334,Alabama A&M (SWAC),33,15-18,498,15.1
261,Alabama St. (SWAC),31,8-23,414,13.4
306,Alabama (SEC),34,29-5,479,14.1
207,Alcorn (SWAC),31,18-13,393,12.7
301,American (Patriot),32,17-15,448,14
45,App State (Sun Belt),32,16-16,352,11
115,Arizona St. (Pac-12),34,22-12,402,11.8
267,Arizona (Pac-12),34,28-6,455,13.4
336,Ark.-Pine Bluff (SWAC),31,10-21,473,15.3
97,Arkansas St. (Sun Belt),33,13-20,385,11.7
228,Arkansas (SEC),33,20-13,426,12.9
230,Army West Point (Patriot),33,17-16,427,12.9
187,Auburn (SEC),32,20-12,399,12.5
102,Austin Peay (ASUN),31,9-22,364,11.7
164,Ball St. (MAC),32,20-12,391,12.2
176,Baylor (Big 12),32,22-10,394,12.3
68,Belmont (MVC),32,21-11,365,11.4
226,Bethune-Cookman (SWAC),32,12-20,413,12.9
237,Binghamton (America East),31,13-18,404,13
57,Boise St. (Mountain West),33,24-9,370,11.2
171,Boston College (ACC),33,16-17,405,12.3
135,Boston U. (Patriot),32,15-17,384,12
162,Bowling Green (MAC),31,11-20,378,12.2
99,Bradley (MVC),34,25-9,398,11.7
265,Brown (Ivy League),27,14-13,361,13.4
268,Bryant (America East),30,17-13,402,13.4
258,Bucknell (Patriot),32,12-20,427,13.3
310,Buffalo (MAC),32,15-17,452,14.1
113,Butler (Big East),32,14-18,378,11.8
312,BYU (WCC),34,19-15,481,14.1
297,Cal Poly (Big West),33,8-25,457,13.8
119,Cal St. Fullerton (Big West),33,20-13,391,11.8
78,California Baptist (WAC),33,17-16,379,11.5
236,California (Pac-12),32,3-29,417,13
125,Campbell (Big South),34,16-18,404,11.9
126,Canisius (MAAC),30,10-20,357,11.9
257,Central Ark. (ASUN),31,9-22,413,13.3
120,Central Conn. St. (NEC),32,10-22,380,11.9
344,Central Mich. (MAC),31,10-21,494,15.9
107,Charleston So. (Big South),31,10-21,365,11.8
38,Charlotte (C-USA),32,18-14,346,10.8
90,Chattanooga (SoCon),35,18-17,407,11.6
282,Chicago St. (DI Independent),31,11-20,422,13.6
30,Cincinnati (AAC),33,21-12,351,10.6
54,Clemson (ACC),33,23-10,369,11.2
92,Cleveland St. (Horizon),34,21-13,396,11.6
166,Coastal Carolina (Sun Belt),31,11-20,379,12.2
135,Col. of Charleston (CAA),34,31-3,408,12
17,Colgate (Patriot),34,26-8,346,10.2
50,Colorado St. (Mountain West),33,15-18,368,11.2
264,Colorado (Pac-12),33,17-16,441,13.4
295,Columbia (Ivy League),29,7-22,401,13.8
330,Coppin St. (MEAC),32,9-23,477,14.9
185,Cornell (Ivy League),28,17-11,348,12.4
91,Creighton (Big East),33,21-12,384,11.6
223,CSU Bakersfield (Big West),33,11-22,424,12.8
189,CSUN (Big West),32,7-25,400,12.5
322,Dartmouth (Ivy League),28,10-18,404,14.4
40,Davidson (Atlantic 10),32,16-16,347,10.8
146,Dayton (Atlantic 10),34,22-12,411,12.1
346,Delaware St. (MEAC),30,6-24,481,16
66,Delaware (CAA),33,17-16,374,11.3
333,Denver (Summit League),32,15-17,479,15
230,DePaul (Big East),33,10-23,427,12.9
114,Detroit Mercy (Horizon),33,14-19,390,11.8
23,Drake (MVC),34,27-7,356,10.5
94,Drexel (CAA),32,17-15,373,11.7
138,Duke (ACC),34,26-8,409,12
127,Duquesne (Atlantic 10),32,20-12,381,11.9
249,East Carolina (AAC),33,16-17,435,13.2
276,Eastern Ill. (OVC),31,9-22,419,13.5
154,Eastern Ky. (ASUN),33,20-13,401,12.2
116,Eastern Mich. (MAC),31,8-23,367,11.8
280,Eastern Wash. (Big Sky),32,22-10,435,13.6
178,Elon (CAA),32,8-24,395,12.3
241,ETSU (SoCon),32,12-20,420,13.1
168,Evansville (MVC),32,5-27,392,12.2
116,Fairfield (MAAC),31,13-18,367,11.8
80,FDU (NEC),34,19-15,391,11.5
68,FGCU (ASUN),32,17-15,365,11.4
329,FIU (C-USA),32,14-18,473,14.8
105,Fla. Atlantic (C-USA),34,31-3,400,11.8
345,Florida A&M (SWAC),29,7-22,464,16
153,Florida St. (ACC),32,9-23,388,12.1
46,Florida (SEC),32,16-16,353,11
274,Fordham (Atlantic 10),33,25-8,446,13.5
84,Fresno St. (Mountain West),31,11-20,359,11.6
49,Furman (SoCon),34,27-7,379,11.1
74,Ga. Southern (Sun Belt),33,17-16,378,11.5
235,Gardner-Webb (Big South),31,15-16,403,13
290,George Mason (Atlantic 10),33,20-13,453,13.7
196,George Washington (Atlantic 10),32,16-16,403,12.6
168,Georgetown (Big East),32,7-25,392,12.2
225,Georgia St. (Sun Belt),31,10-21,400,12.9
25,Georgia Tech (ACC),33,15-18,349,10.6
251,Georgia (SEC),32,16-16,423,13.2
25,Gonzaga (WCC),33,28-5,349,10.6
319,Grambling (SWAC),33,24-9,475,14.4
145,Grand Canyon (WAC),35,24-11,423,12.1
299,Green Bay (Horizon),32,3-29,447,14
47,Hampton (CAA),32,8-24,354,11.1
318,Hartford (DI Independent),28,5-23,403,14.4
281,Harvard (Ivy League),28,14-14,381,13.6
154,Hawaii (Big West),33,22-11,401,12.2
311,High Point (Big South),31,14-17,438,14.1
25,Hofstra (CAA),33,24-9,349,10.6
151,Holy Cross (Patriot),32,10-22,387,12.1
337,Houston Christian (Southland),32,10-22,489,15.3
14,Houston (AAC),34,31-3,338,9.9
350,Howard (MEAC),34,22-12,555,16.3
83,Idaho St. (Big Sky),32,11-21,370,11.6
64,Idaho (Big Sky),32,10-22,362,11.3
323,Illinois St. (MVC),32,11-21,466,14.6
218,Illinois (Big Ten),32,20-12,409,12.8
112,Indiana St. (MVC),34,22-12,401,11.8
86,Indiana (Big Ten),33,22-11,383,11.6
29,Iona (MAAC),34,27-7,361,10.6
239,Iowa St. (Big 12),32,19-13,419,13.1
12,Iowa (Big Ten),32,19-13,317,9.9
