Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
127,A&M-Corpus Christi (Southland),33,23-10,801,265,33.1
314,Abilene Christian (WAC),30,13-17,517,188,36.4
10,Air Force (Mountain West),32,14-18,566,166,29.3
215,Akron (MAC),33,22-11,669,229,34.2
212,Alabama A&M (SWAC),33,15-18,735,251,34.1
198,Alabama St. (SWAC),31,8-23,635,216,34
3,Alabama (SEC),34,29-5,670,188,28.1
125,Alcorn (SWAC),31,18-13,681,225,33
345,American (Patriot),32,17-15,561,216,38.5
89,App State (Sun Belt),32,16-16,729,235,32.2
168,Arizona St. (Pac-12),34,22-12,774,260,33.6
111,Arizona (Pac-12),34,28-6,833,273,32.8
109,Ark.-Pine Bluff (SWAC),31,10-21,603,197,32.7
328,Arkansas St. (Sun Belt),33,13-20,596,219,36.7
29,Arkansas (SEC),33,20-13,553,169,30.6
135,Army West Point (Patriot),33,17-16,733,243,33.2
5,Auburn (SEC),32,20-12,618,178,28.8
201,Austin Peay (ASUN),31,9-22,593,202,34.1
344,Ball St. (MAC),32,20-12,619,237,38.3
86,Baylor (Big 12),32,22-10,680,219,32.2
286,Belmont (MVC),32,21-11,645,230,35.7
270,Bethune-Cookman (SWAC),32,12-20,686,242,35.3
115,Binghamton (America East),31,13-18,618,203,32.8
36,Boise St. (Mountain West),33,24-9,696,215,30.9
330,Boston College (ACC),33,16-17,744,274,36.8
167,Boston U. (Patriot),32,15-17,676,227,33.6
291,Bowling Green (MAC),31,11-20,708,253,35.7
64,Bradley (MVC),34,25-9,700,223,31.9
258,Brown (Ivy League),27,14-13,571,200,35
119,Bryant (America East),30,17-13,719,237,33
282,Bucknell (Patriot),32,12-20,666,237,35.6
259,Buffalo (MAC),32,15-17,696,244,35.1
77,Butler (Big East),32,14-18,623,200,32.1
195,BYU (WCC),34,19-15,715,243,34
207,Cal Poly (Big West),33,8-25,610,208,34.1
44,Cal St. Fullerton (Big West),33,20-13,705,220,31.2
21,California Baptist (WAC),33,17-16,610,185,30.3
157,California (Pac-12),32,3-29,679,227,33.4
228,Campbell (Big South),34,16-18,763,263,34.5
323,Canisius (MAAC),30,10-20,554,203,36.6
310,Central Ark. (ASUN),31,9-22,769,279,36.3
277,Central Conn. St. (NEC),32,10-22,683,242,35.4
241,Central Mich. (MAC),31,10-21,735,255,34.7
297,Charleston So. (Big South),31,10-21,704,253,35.9
240,Charlotte (C-USA),32,18-14,649,225,34.7
150,Chattanooga (SoCon),35,18-17,893,298,33.4
224,Chicago St. (DI Independent),31,11-20,680,234,34.4
57,Cincinnati (AAC),33,21-12,605,191,31.6
137,Clemson (ACC),33,23-10,771,256,33.2
60,Cleveland St. (Horizon),34,21-13,745,237,31.8
280,Coastal Carolina (Sun Belt),31,11-20,859,305,35.5
32,Col. of Charleston (CAA),34,31-3,655,201,30.7
265,Colgate (Patriot),34,26-8,730,257,35.2
318,Colorado St. (Mountain West),33,15-18,809,295,36.5
61,Colorado (Pac-12),33,17-16,641,204,31.8
132,Columbia (Ivy League),29,7-22,634,210,33.1
194,Coppin St. (MEAC),32,9-23,839,285,34
281,Cornell (Ivy League),28,17-11,650,231,35.5
211,Creighton (Big East),33,21-12,618,211,34.1
216,CSU Bakersfield (Big West),33,11-22,695,238,34.2
178,CSUN (Big West),32,7-25,656,221,33.7
129,Dartmouth (Ivy League),28,10-18,580,192,33.1
108,Davidson (Atlantic 10),32,16-16,678,221,32.6
8,Dayton (Atlantic 10),34,22-12,752,220,29.3
351,Delaware St. (MEAC),30,6-24,702,283,40.3
315,Delaware (CAA),33,17-16,653,238,36.4
161,Denver (Summit League),32,15-17,785,263,33.5
254,DePaul (Big East),33,10-23,689,241,35
321,Detroit Mercy (Horizon),33,14-19,757,277,36.6
30,Drake (MVC),34,27-7,742,227,30.6
146,Drexel (CAA),32,17-15,510,170,33.3
24,Duke (ACC),34,26-8,688,209,30.4
272,Duquesne (Atlantic 10),32,20-12,617,218,35.3
117,East Carolina (AAC),33,16-17,657,216,32.9
173,Eastern Ill. (OVC),31,9-22,770,259,33.6
146,Eastern Ky. (ASUN),33,20-13,810,270,33.3
213,Eastern Mich. (MAC),31,8-23,767,262,34.2
101,Eastern Wash. (Big Sky),32,22-10,828,269,32.5
232,Elon (CAA),32,8-24,843,291,34.5
96,ETSU (SoCon),32,12-20,785,254,32.4
342,Evansville (MVC),32,5-27,745,283,38
6,Fairfield (MAAC),31,13-18,553,161,29.1
317,FDU (NEC),34,19-15,746,272,36.5
153,FGCU (ASUN),32,17-15,764,255,33.4
313,FIU (C-USA),32,14-18,765,278,36.3
66,Fla. Atlantic (C-USA),34,31-3,684,218,31.9
142,Florida A&M (SWAC),29,7-22,541,180,33.3
338,Florida St. (ACC),32,9-23,773,291,37.6
50,Florida (SEC),32,16-16,593,186,31.4
72,Fordham (Atlantic 10),33,25-8,562,180,32
337,Fresno St. (Mountain West),31,11-20,603,227,37.6
156,Furman (SoCon),34,27-7,701,234,33.4
97,Ga. Southern (Sun Belt),33,17-16,689,223,32.4
174,Gardner-Webb (Big South),31,15-16,618,208,33.7
17,George Mason (Atlantic 10),33,20-13,658,198,30.1
251,George Washington (Atlantic 10),32,16-16,784,274,34.9
347,Georgetown (Big East),32,7-25,791,308,38.9
303,Georgia St. (Sun Belt),31,10-21,596,215,36.1
18,Georgia Tech (ACC),33,15-18,684,206,30.1
69,Georgia (SEC),32,16-16,702,224,31.9
238,Gonzaga (WCC),33,28-5,779,270,34.7
34,Grambling (SWAC),33,24-9,679,209,30.8
51,Grand Canyon (WAC),35,24-11,679,213,31.4
256,Green Bay (Horizon),32,3-29,634,222,35
334,Hampton (CAA),32,8-24,701,262,37.4
336,Hartford (DI Independent),28,5-23,609,229,37.6
81,Harvard (Ivy League),28,14-14,625,201,32.2
11,Hawaii (Big West),33,22-11,493,145,29.4
95,High Point (Big South),31,14-17,749,242,32.3
26,Hofstra (CAA),33,24-9,735,224,30.5
107,Holy Cross (Patriot),32,10-22,672,219,32.6
324,Houston Christian (Southland),32,10-22,660,242,36.7
2,Houston (AAC),34,31-3,766,213,27.8
186,Howard (MEAC),34,22-12,721,244,33.8
88,Idaho St. (Big Sky),32,11-21,599,193,32.2
341,Idaho (Big Sky),32,10-22,586,222,37.9
179,Illinois St. (MVC),32,11-21,667,225,33.7
164,Illinois (Big Ten),32,20-12,578,194,33.6
79,Indiana St. (MVC),34,22-12,707,227,32.1
141,Indiana (Big Ten),33,22-11,743,247,33.2
7,Iona (MAAC),34,27-7,671,196,29.2
181,Iowa St. (Big 12),32,19-13,728,246,33.8
320,Iowa (Big Ten),32,19-13,618,226,36.6
294,IUPUI (Horizon),32,5-27,714,256,35.9
252,Jackson St. (SWAC),33,14-19,741,259,35
239,Jacksonville St. (ASUN),31,13-18,828,287,34.7
55,Jacksonville (ASUN),29,13-16,765,241,31.5
38,James Madison (Sun Belt),33,22-11,729,226,31
218,Kansas City (Summit League),32,11-21,697,239,34.3
16,Kansas St. (Big 12),32,23-9,675,203,30.1
46,Kansas (Big 12),34,27-7,695,217,31.2
154,Kennesaw St. (ASUN),34,26-8,746,249,33.4
39,Kent St. (MAC),34,28-6,764,237,31
133,Kentucky (SEC),32,21-11,640,212,33.1
229,La Salle (Atlantic 10),34,15-19,696,240,34.5
210,Lafayette (Patriot),34,11-23,753,257,34.1
202,Lamar University (Southland),31,9-22,819,279,34.1
91,Lehigh (Patriot),30,16-14,620,200,32.3
245,Liberty (ASUN),34,26-8,648,225,34.7
151,Lipscomb (ASUN),33,20-13,794,265,33.4
349,Little Rock (OVC),31,10-21,689,270,39.2
306,LIU (NEC),29,3-26,631,228,36.1
170,LMU (CA) (WCC),31,19-12,601,202,33.6
175,Long Beach St. (Big West),33,17-16,820,276,33.7
246,Longwood (Big South),32,20-12,722,251,34.8
332,Louisiana Tech (C-USA),33,15-18,752,279,37.1
188,Louisiana (Sun Belt),33,26-7,576,195,33.9
263,Louisville (ACC),32,4-28,739,260,35.2
223,Loyola Chicago (Atlantic 10),31,10-21,649,223,34.4
312,Loyola Maryland (Patriot),33,13-20,658,239,36.3
217,LSU (SEC),33,14-19,773,265,34.3
219,Maine (America East),30,13-17,612,210,34.3
311,Manhattan (MAAC),30,12-18,628,228,36.3
257,Marist (MAAC),33,13-20,711,249,35
268,Marquette (Big East),34,28-6,735,259,35.2
73,Marshall (Sun Belt),32,24-8,693,222,32
78,Maryland (Big Ten),33,21-12,570,183,32.1
130,Massachusetts (Atlantic 10),31,15-16,731,242,33.1
346,McNeese (Southland),34,11-23,747,290,38.8
35,Memphis (AAC),34,26-8,879,271,30.8
121,Mercer (SoCon),33,14-19,609,201,33
165,Miami (FL) (ACC),32,25-7,721,242,33.6
230,Miami (OH) (MAC),32,12-20,664,229,34.5
54,Michigan St. (Big Ten),31,19-12,686,216,31.5
65,Michigan (Big Ten),32,17-15,656,209,31.9
279,Middle Tenn. (C-USA),33,19-14,600,213,35.5
31,Milwaukee (Horizon),32,21-11,852,261,30.6
296,Minnesota (Big Ten),31,9-22,580,208,35.9
33,Mississippi St. (SEC),33,21-12,790,243,30.8
293,Mississippi Val. (SWAC),32,5-27,706,253,35.8
100,Missouri St. (MVC),32,17-15,660,214,32.4
276,Missouri (SEC),33,24-9,827,293,35.4
331,Monmouth (CAA),33,7-26,829,307,37
209,Montana St. (Big Sky),34,25-9,639,218,34.1
83,Montana (Big Sky),31,17-14,575,185,32.2
74,Morehead St. (OVC),32,21-11,571,183,32
37,Morgan St. (MEAC),31,15-16,602,186,30.9
146,Mount St. Mary's (MAAC),33,13-20,678,226,33.3
151,Murray St. (MVC),32,17-15,794,265,33.4
131,N.C. A&T (CAA),32,13-19,734,243,33.1
23,N.C. Central (MEAC),30,18-12,609,185,30.4
208,Navy (Patriot),31,18-13,651,222,34.1
82,NC State (ACC),33,23-10,628,202,32.2
206,Nebraska (Big Ten),32,16-16,848,289,34.1
84,Nevada (Mountain West),32,22-10,758,244,32.2
42,New Hampshire (America East),30,15-15,566,176,31.1
227,New Mexico St. (WAC),24,9-15,618,213,34.5
146,New Mexico (Mountain West),33,22-11,792,264,33.3
308,New Orleans (Southland),32,12-20,677,245,36.2
292,Niagara (MAAC),31,16-15,509,182,35.8
187,Nicholls (Southland),31,16-15,644,218,33.9
113,NIU (MAC),32,13-19,698,229,32.8
166,NJIT (America East),30,7-23,691,232,33.6
244,Norfolk St. (MEAC),33,22-11,867,301,34.7
322,North Ala. (ASUN),32,18-14,696,255,36.6
120,North Carolina (ACC),33,20-13,646,213,33
182,North Dakota St. (Summit League),33,16-17,719,243,33.8
261,North Dakota (Summit League),33,13-20,618,217,35.1
266,North Florida (ASUN),31,14-17,582,205,35.2
28,North Texas (C-USA),33,26-7,540,165,30.6
248,Northeastern (CAA),30,10-20,516,180,34.9
271,Northern Ariz. (Big Sky),35,12-23,739,261,35.3
123,Northern Colo. (Big Sky),32,12-20,639,211,33
319,Northern Ky. (Horizon),34,22-12,688,251,36.5
138,Northwestern St. (Southland),33,22-11,614,204,33.2
189,Northwestern (Big Ten),32,21-11,717,243,33.9
221,Notre Dame (ACC),32,11-21,673,231,34.3
329,Oakland (Horizon),32,13-19,769,283,36.8
76,Ohio St. (Big Ten),35,16-19,751,241,32.1
197,Ohio (MAC),33,19-14,747,254,34
63,Oklahoma St. (Big 12),33,18-15,719,229,31.8
45,Oklahoma (Big 12),32,15-17,567,177,31.2
49,Old Dominion (Sun Belt),31,19-12,731,229,31.3
183,Ole Miss (SEC),33,12-21,645,218,33.8
307,Omaha (Summit League),32,9-23,760,275,36.2
236,Oral Roberts (Summit League),34,30-4,852,295,34.6
185,Oregon St. (Pac-12),32,11-21,665,225,33.8
253,Oregon (Pac-12),33,19-14,712,249,35
269,Pacific (WCC),33,15-18,780,275,35.3
145,Penn St. (Big Ten),35,22-13,769,256,33.3
102,Penn (Ivy League),30,17-13,800,260,32.5
298,Pepperdine (WCC),31,9-22,676,243,35.9
160,Pittsburgh (ACC),33,22-11,768,257,33.5
289,Portland St. (Big Sky),31,12-19,566,202,35.7
340,Portland (WCC),33,14-19,891,337,37.8
199,Prairie View (SWAC),32,13-19,579,197,34
335,Presbyterian (Big South),32,5-27,592,222,37.5
106,Princeton (Ivy League),29,21-8,571,186,32.6
190,Providence (Big East),32,21-11,649,220,33.9
20,Purdue Fort Wayne (Horizon),32,17-15,754,228,30.2
