Rank,Team,W,L,Pct
55,A&M-Corpus Christi (Southland),23,10,69.7
244,Abilene Christian (WAC),13,17,43.3
235,Air Force (Mountain West),14,18,43.8
67,Akron (MAC),22,11,66.7
225,Alabama A&M (SWAC),15,18,45.5
327,Alabama St. (SWAC),8,23,25.8
5,Alabama (SEC),29,5,85.3
127,Alcorn (SWAC),18,13,58.1
166,American (Patriot),17,15,53.1
193,App State (Sun Belt),16,16,50
82,Arizona St. (Pac-12),22,12,64.7
9,Arizona (Pac-12),28,6,82.4
302,Ark.-Pine Bluff (SWAC),10,21,32.3
262,Arkansas St. (Sun Belt),13,20,39.4
111,Arkansas (SEC),20,13,60.6
182,Army West Point (Patriot),17,16,51.5
98,Auburn (SEC),20,12,62.5
316,Austin Peay (ASUN),9,22,29
98,Ball St. (MAC),20,12,62.5
61,Baylor (Big 12),22,10,68.8
75,Belmont (MVC),21,11,65.6
271,Bethune-Cookman (SWAC),12,20,37.5
252,Binghamton (America East),13,18,41.9
45,Boise St. (Mountain West),24,9,72.7
204,Boston College (ACC),16,17,48.5
215,Boston U. (Patriot),15,17,46.9
281,Bowling Green (MAC),11,20,35.5
40,Bradley (MVC),25,9,73.5
178,Brown (Ivy League),14,13,51.9
140,Bryant (America East),17,13,56.7
271,Bucknell (Patriot),12,20,37.5
215,Buffalo (MAC),15,17,46.9
235,Butler (Big East),14,18,43.8
150,BYU (WCC),19,15,55.9
333,Cal Poly (Big West),8,25,24.2
111,Cal St. Fullerton (Big West),20,13,60.6
182,California Baptist (WAC),17,16,51.5
351,California (Pac-12),3,29,9.4
214,Campbell (Big South),16,18,47.1
296,Canisius (MAAC),10,20,33.3
316,Central Ark. (ASUN),9,22,29
308,Central Conn. St. (NEC),10,22,31.2
302,Central Mich. (MAC),10,21,32.3
302,Charleston So. (Big South),10,21,32.3
143,Charlotte (C-USA),18,14,56.2
192,Chattanooga (SoCon),18,17,51.4
281,Chicago St. (DI Independent),11,20,35.5
90,Cincinnati (AAC),21,12,63.6
55,Clemson (ACC),23,10,69.7
106,Cleveland St. (Horizon),21,13,61.8
281,Coastal Carolina (Sun Belt),11,20,35.5
1,Col. of Charleston (CAA),31,3,91.2
28,Colgate (Patriot),26,8,76.5
225,Colorado St. (Mountain West),15,18,45.5
182,Colorado (Pac-12),17,16,51.5
334,Columbia (Ivy League),7,22,24.1
324,Coppin St. (MEAC),9,23,28.1
110,Cornell (Ivy League),17,11,60.7
90,Creighton (Big East),21,12,63.6
296,CSU Bakersfield (Big West),11,22,33.3
337,CSUN (Big West),7,25,21.9
280,Dartmouth (Ivy League),10,18,35.7
193,Davidson (Atlantic 10),16,16,50
82,Dayton (Atlantic 10),22,12,64.7
341,Delaware St. (MEAC),6,24,20
182,Delaware (CAA),17,16,51.5
215,Denver (Summit League),15,17,46.9
315,DePaul (Big East),10,23,30.3
246,Detroit Mercy (Horizon),14,19,42.4
13,Drake (MVC),27,7,79.4
166,Drexel (CAA),17,15,53.1
28,Duke (ACC),26,8,76.5
98,Duquesne (Atlantic 10),20,12,62.5
204,East Carolina (AAC),16,17,48.5
316,Eastern Ill. (OVC),9,22,29
111,Eastern Ky. (ASUN),20,13,60.6
327,Eastern Mich. (MAC),8,23,25.8
61,Eastern Wash. (Big Sky),22,10,68.8
331,Elon (CAA),8,24,25
271,ETSU (SoCon),12,20,37.5
345,Evansville (MVC),5,27,15.6
252,Fairfield (MAAC),13,18,41.9
150,FDU (NEC),19,15,55.9
166,FGCU (ASUN),17,15,53.1
235,FIU (C-USA),14,18,43.8
1,Fla. Atlantic (C-USA),31,3,91.2
334,Florida A&M (SWAC),7,22,24.1
324,Florida St. (ACC),9,23,28.1
193,Florida (SEC),16,16,50
36,Fordham (Atlantic 10),25,8,75.8
281,Fresno St. (Mountain West),11,20,35.5
13,Furman (SoCon),27,7,79.4
182,Ga. Southern (Sun Belt),17,16,51.5
211,Gardner-Webb (Big South),15,16,48.4
111,George Mason (Atlantic 10),20,13,60.6
193,George Washington (Atlantic 10),16,16,50
337,Georgetown (Big East),7,25,21.9
302,Georgia St. (Sun Belt),10,21,32.3
225,Georgia Tech (ACC),15,18,45.5
193,Georgia (SEC),16,16,50
8,Gonzaga (WCC),28,5,84.8
45,Grambling (SWAC),24,9,72.7
